#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 564 (Div. 2),Jun/07/2019 15:05,250,3,136,1636,Expert
2,Codeforces Round 566 (Div. 2),Jun/11/2019 16:05,471,3,79,1715,Expert
3,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,1303,3,-12,1703,Expert
4,"Codeforces Round 596 (Div. 2, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,1235,3,-30,1673,Expert
5,"Codeforces Round 602 (Div. 2, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,58,6,146,1819,Expert
6,"Codeforces Round 606 (Div. 2, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,807,3,-35,1784,Expert
7,Codeforces Round 607 (Div. 2),Dec/15/2019 08:05,11,5,187,1971,Candidate Master
8,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,36,5,124,2095,Candidate Master
9,Codeforces Round 609 (Div. 1),Dec/21/2019 14:05,426,1,-38,2057,Candidate Master
10,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,220,4,12,2069,Candidate Master
11,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,756,1,-78,1991,Candidate Master
12,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,554,4,-4,1987,Candidate Master
13,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,286,2,75,2062,Candidate Master
14,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,1053,1,-59,2003,Candidate Master
15,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,234,3,126,2129,Master
16,Codeforces Round 641 (Div. 1),May/12/2020 15:35,453,3,26,2155,Master
17,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,104,3,143,2298,Master
18,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,368,3,-10,2288,Master
19,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,262,3,8,2296,Master
20,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,590,1,-76,2220,Master
21,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,225,2,33,2253,Master
22,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,316,3,1,2254,Master
23,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,694,4,-43,2211,Master
24,Codeforces Global Round 21,Jun/25/2022 17:35,169,6,104,2315,International Master
25,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,711,3,-87,2228,Master
