#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 440 (Div. 2, based on Technocup 2018 Elimination Round 2)",Oct/15/2017 11:05,4,5,324,1824,Expert
2,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,33,5,175,1999,Candidate Master
3,Codeforces Round 594 (Div. 1),Oct/20/2019 12:05,281,2,30,2029,Candidate Master
4,Hello 2020,Jan/04/2020 15:05,1134,3,-15,2014,Candidate Master
5,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,95,3,167,2181,Master
6,Codeforces Global Round 10,Aug/16/2020 17:35,79,6,150,2331,International Master
7,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,65,3,118,2449,Grandmaster
8,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,47,6,135,2584,Grandmaster
9,Dytechlab Cup 2022,Oct/07/2022 17:35,108,5,26,2610,International Grandmaster
10,Codeforces Global Round 23,Oct/15/2022 17:35,117,5,29,2639,International Grandmaster
