#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 208 (Div. 2),Oct/25/2013 19:30,241,2,166,1666,Expert
2,Codeforces Round 209 (Div. 2),Nov/02/2013 12:00,168,2,-10,1656,Expert
3,Codeforces Round 211 (Div. 2),Nov/11/2013 12:00,352,3,-62,1594,Specialist
4,Codeforces Round 212 (Div. 2),Nov/14/2013 19:30,649,1,-70,1524,Specialist
5,Good Bye 2013,Dec/30/2013 19:30,837,3,128,1652,Expert
6,Codeforces Round 223 (Div. 2),Jan/12/2014 19:30,218,3,17,1669,Expert
7,Codeforces Round 226 (Div. 2),Jan/24/2014 19:35,185,3,25,1694,Expert
8,Codeforces Round 236 (Div. 2),Mar/16/2014 19:30,62,3,51,1745,Expert
9,RCC 2014 Warmup (Div. 1),Apr/17/2014 19:40,211,2,74,1819,Expert
10,"Coder-Strike 2014 - Finals (online edition, Div. 1)",Apr/22/2014 16:19,379,1,-68,1751,Expert
11,Codeforces Round 245 (Div. 1),May/11/2014 19:40,157,2,143,1894,Expert
12,Codeforces Round 250 (Div. 1),Jun/01/2014 17:00,544,1,-75,1819,Expert
13,Zepto Code Rush 2014,Jun/13/2014 19:30,906,2,-75,1744,Expert
14,Codeforces Round 260 (Div. 1),Aug/08/2014 19:30,643,1,-51,1693,Expert
15,MemSQL Start[c]UP 2.0 - Round 2 - Online Round,Aug/10/2014 21:00,314,1,80,1773,Expert
16,Codeforces Round 265 (Div. 1),Sep/07/2014 19:30,418,1,26,1799,Expert
17,Codeforces Round 268 (Div. 1),Sep/20/2014 17:00,798,1,-86,1713,Expert
18,Codeforces Round 270,Sep/28/2014 19:35,1709,2,-107,1606,Expert
19,Codeforces Round 272 (Div. 2),Oct/12/2014 18:00,221,3,80,1686,Expert
20,Codeforces Round 273 (Div. 2),Oct/16/2014 19:40,49,3,84,1770,Expert
21,Codeforces Round 274 (Div. 1),Oct/19/2014 13:00,239,3,113,1883,Expert
22,Codeforces Round 283 (Div. 1),Dec/17/2014 19:30,183,3,129,2012,Candidate Master
23,Codeforces Round 284 (Div. 1),Dec/24/2014 19:30,617,0,-103,1909,Candidate Master
24,Codeforces Round 290 (Div. 1),Feb/02/2015 19:30,408,2,31,1940,Candidate Master
25,Codeforces Round 292 (Div. 1),Feb/17/2015 19:35,347,2,58,1998,Candidate Master
26,Codeforces Round 296 (Div. 1),Mar/17/2015 19:45,189,2,98,2096,Candidate Master
27,"VK Cup 2015 - Round 1 (unofficial online mirror, Div. 1 only)",Mar/21/2015 19:45,335,0,-95,2001,Candidate Master
28,ZeptoLab Code Rush 2015,Apr/04/2015 19:35,652,3,-36,1965,Candidate Master
29,Codeforces Round 299 (Div. 1),Apr/14/2015 19:35,172,2,88,2053,Candidate Master
30,Codeforces Round 302 (Div. 1),May/07/2015 19:30,173,2,59,2112,Master
31,Looksery Cup 2015,Jun/06/2015 16:00,768,3,-68,2044,Candidate Master
32,Codeforces Round 313 (Div. 1),Jul/22/2015 17:00,658,1,-96,1948,Candidate Master
33,Codeforces Round 319 (Div. 1),Sep/10/2015 19:30,576,1,-72,1876,Expert
34,Codeforces Round 320 (Div. 1) [Bayan Thanks-Round],Sep/16/2015 18:15,86,3,208,2084,Candidate Master
35,Codeforces Round 326 (Div. 1),Oct/15/2015 19:30,303,1,-33,2051,Candidate Master
36,Codeforces Round 327 (Div. 1),Oct/25/2015 12:00,232,2,-23,2028,Candidate Master
37,Codeforces Round 333 (Div. 1),Nov/24/2015 19:35,177,2,28,2056,Candidate Master
38,Codeforces Round 334 (Div. 1),Dec/01/2015 18:35,399,1,-84,1972,Candidate Master
39,Codeforces Round 336 (Div. 1),Dec/23/2015 19:35,160,2,66,2038,Candidate Master
40,Codeforces Round 339 (Div. 1),Jan/14/2016 19:35,261,1,-14,2024,Candidate Master
41,AIM Tech Round (Div. 1),Feb/04/2016 20:05,436,0,-95,1929,Candidate Master
42,IndiaHacks 2016 - Online Edition (Div. 1 + Div. 2),Mar/19/2016 11:35,1440,1,-141,1788,Expert
43,VK Cup 2016 - Round 1 (Div. 2 Edition),Mar/28/2016 19:35,1,5,275,2063,Candidate Master
44,Codeforces Round 352 (Div. 1),May/11/2016 19:35,24,3,207,2270,Master
45,Codeforces Round 363 (Div. 1),Jul/19/2016 16:05,476,1,-111,2159,Master
46,Codeforces Round 364 (Div. 1),Jul/22/2016 19:35,348,0,-109,2050,Candidate Master
47,Codeforces Round 372 (Div. 1),Sep/17/2016 16:45,41,2,172,2222,Master
48,"Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)",Oct/01/2016 17:05,705,4,-72,2150,Master
49,Codeforces Round 381 (Div. 1),Nov/23/2016 19:35,68,2,94,2244,Master
50,8VC Venture Cup 2017 - Elimination Round,Jan/15/2017 20:05,837,3,-102,2142,Master
51,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",Feb/23/2017 17:45,270,5,18,2160,Master
52,Codeforces Round 402 (Div. 1),Feb/26/2017 11:05,364,1,-88,2072,Candidate Master
53,"Codeforces Round 423 (Div. 1, rated, based on VK Cup Finals)",Jul/11/2017 19:45,436,0,-100,1972,Candidate Master
54,"Codeforces Round 424 (Div. 1, rated, based on VK Cup Finals)",Jul/13/2017 18:05,453,0,-90,1882,Expert
55,Codeforces Round 425 (Div. 2),Jul/24/2017 17:35,185,2,37,1919,Candidate Master
56,MemSQL Start[c]UP 3.0 - Round 1,Sep/16/2017 20:35,82,5,160,2079,Candidate Master
57,"Manthan, Codefest 17",Sep/24/2017 17:35,539,2,-47,2032,Candidate Master
58,Codeforces Round 443 (Div. 1),Oct/26/2017 17:45,144,1,45,2077,Candidate Master
59,Codeforces Round 446 (Div. 1),Nov/17/2017 17:35,413,0,-100,1977,Candidate Master
60,Good Bye 2017,Dec/29/2017 18:40,571,3,24,2001,Candidate Master
61,Hello 2018,Jan/08/2018 17:45,108,5,135,2136,Master
62,Codeforces Round 459 (Div. 1),Jan/29/2018 17:35,88,2,52,2188,Master
63,Codeforces Round 497 (Div. 1),Jul/13/2018 17:35,101,2,60,2248,Master
64,"Codeforces Round 503 (by SIS, Div. 1)",Aug/11/2018 16:35,365,1,-75,2173,Master
65,"Codeforces Round 512 (Div. 1, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,65,3,79,2252,Master
66,Lyft Level 5 Challenge 2018 - Elimination Round,Oct/07/2018 20:05,63,4,100,2352,International Master
67,"Codeforces Round 516 (Div. 1, by Moscow Team Olympiad)",Oct/14/2018 13:05,229,2,-62,2290,Master
68,Codeforces Round 519 by Botan Investments,Oct/28/2018 18:35,1294,4,-136,2154,Master
69,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 1),Nov/04/2018 21:10,73,4,60,2214,Master
70,Mail.Ru Cup 2018 Round 2,Nov/10/2018 17:35,194,3,15,2229,Master
71,Good Bye 2018,Dec/30/2018 17:35,143,5,84,2313,International Master
72,Codeforces Round 530 (Div. 1),Jan/05/2019 19:35,109,3,35,2348,International Master
73,Codeforces Round 534 (Div. 1),Jan/22/2019 17:35,162,2,-22,2326,International Master
74,Codeforces Round 539 (Div. 1),Feb/16/2019 19:35,266,2,-64,2262,Master
75,Forethought Future Cup - Elimination Round,Apr/20/2019 21:05,83,6,69,2331,International Master
76,Codeforces Round 569 (Div. 1),Jun/21/2019 20:05,40,4,96,2427,Grandmaster
77,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,121,7,30,2457,Grandmaster
78,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,157,5,-16,2441,Grandmaster
79,Codeforces Global Round 5,Oct/16/2019 17:35,183,6,10,2451,Grandmaster
80,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,112,3,7,2458,Grandmaster
81,Codeforces Global Round 6,Dec/17/2019 18:05,95,5,46,2504,Grandmaster
82,Good Bye 2019,Dec/29/2019 17:05,847,4,-110,2394,International Master
83,Hello 2020,Jan/04/2020 15:05,395,4,-22,2372,International Master
84,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,235,2,-12,2360,International Master
85,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,150,3,23,2383,International Master
86,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,222,3,-14,2369,International Master
87,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,216,5,13,2382,International Master
88,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,480,3,-70,2312,International Master
89,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,133,3,49,2361,International Master
90,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,186,3,27,2388,International Master
91,Codeforces Global Round 9,Jul/04/2020 17:45,97,6,97,2485,Grandmaster
92,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,284,4,-30,2455,Grandmaster
93,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,138,2,31,2486,Grandmaster
94,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,96,2,47,2533,Grandmaster
95,Codeforces Global Round 10,Aug/16/2020 17:35,187,6,-4,2529,Grandmaster
96,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,978,0,-154,2375,International Master
97,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,356,2,-32,2343,International Master
98,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,2137,1,-168,2175,Master
99,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,557,1,-81,2094,Candidate Master
100,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,56,5,85,2179,Master
101,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,339,3,36,2215,Master
102,Codeforces Global Round 18,Dec/24/2021 17:35,3077,2,-166,2049,Candidate Master
103,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,350,4,-3,2046,Candidate Master
104,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,22,5,135,2181,Master
105,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,632,5,7,2188,Master
106,Hello 2022,Jan/03/2022 17:35,2582,2,-129,2059,Candidate Master
107,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,107,4,171,2230,Master
108,Hello 2023,Jan/03/2023 17:35,4374,3,-187,2043,Candidate Master
109,Codeforces Round 842 (Div. 2),Jan/05/2023 17:35,219,4,27,2070,Candidate Master
110,Codeforces Round 843 (Div. 2),Jan/10/2023 14:15,497,5,-31,2039,Candidate Master
111,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,227,5,114,2153,Master
