#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 744 (Div. 3),Sep/28/2021 17:35,2634,4,513,513,Newbie
2,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,1062,2,415,928,Newbie
3,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,2595,2,250,1178,Newbie
4,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,1099,5,214,1392,Pupil
5,Codeforces Round 748 (Div. 3),Oct/13/2021 17:35,1600,4,89,1481,Specialist
6,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,1059,3,63,1544,Specialist
7,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,1040,3,65,1609,Expert
8,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,783,4,64,1673,Expert
9,Codeforces Global Round 20,Apr/23/2022 17:05,2422,3,-31,1642,Expert
10,Codeforces Round 788 (Div. 2),May/06/2022 17:35,162,4,144,1786,Expert
11,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,309,4,68,1854,Expert
12,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,1615,3,-20,1834,Expert
13,Codeforces Round 793 (Div. 2),May/22/2022 17:35,251,4,69,1903,Candidate Master
14,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,166,4,74,1977,Candidate Master
15,Codeforces Round 794 (Div. 1),May/25/2022 20:35,228,2,76,2053,Candidate Master
16,CodeCraft-22 and Codeforces Round 795 (Div. 2),May/31/2022 17:35,545,4,-35,2018,Candidate Master
17,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,694,1,-86,1932,Candidate Master
18,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,651,4,-16,1916,Candidate Master
19,Codeforces Round 802 (Div. 2),Jun/19/2022 12:05,187,4,56,1972,Candidate Master
20,Codeforces Global Round 21,Jun/25/2022 17:35,518,5,71,2043,Candidate Master
21,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,522,4,-26,2017,Candidate Master
22,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,290,4,14,2031,Candidate Master
23,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,794,0,-94,1937,Candidate Master
24,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,94,5,102,2039,Candidate Master
25,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,401,4,-5,2034,Candidate Master
26,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,173,4,45,2079,Candidate Master
27,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,1113,3,-64,2015,Candidate Master
28,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,185,4,42,2057,Candidate Master
29,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,1205,3,-81,1976,Candidate Master
30,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,241,4,32,2008,Candidate Master
31,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,1533,3,-85,1923,Candidate Master
32,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,2360,4,-96,1827,Expert
33,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,1426,3,-44,1783,Expert
34,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,419,3,50,1833,Expert
35,Codeforces Global Round 22,Sep/30/2022 17:35,1132,3,24,1857,Expert
36,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,57,4,140,1997,Candidate Master
37,Dytechlab Cup 2022,Oct/07/2022 17:35,582,3,34,2031,Candidate Master
38,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,1291,3,-79,1952,Candidate Master
39,Codeforces Global Round 23,Oct/15/2022 17:35,1322,4,-13,1939,Candidate Master
40,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,952,4,-36,1903,Candidate Master
41,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,759,3,-18,1885,Expert
42,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,752,4,-22,1863,Expert
43,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,442,4,100,1963,Candidate Master
44,Codeforces Round 833 (Div. 2),Nov/12/2022 17:35,106,4,74,2037,Candidate Master
45,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,526,4,28,2065,Candidate Master
46,Codeforces Round 836 (Div. 2),Nov/25/2022 18:35,123,4,39,2104,Master
47,Codeforces Global Round 24,Nov/26/2022 17:05,455,4,20,2124,Master
48,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,3961,2,-139,1985,Candidate Master
49,Hello 2023,Jan/03/2023 17:35,599,4,61,2046,Candidate Master
50,Codeforces Round 842 (Div. 2),Jan/05/2023 17:35,62,5,93,2139,Master
51,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,530,5,19,2158,Master
