#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 653 (Div. 3),Jun/28/2020 17:35,12177,1,387,387,Newbie
2,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,12597,1,243,630,Newbie
3,Codeforces Round 656 (Div. 3),Jul/17/2020 17:35,6131,3,252,882,Newbie
4,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,8317,2,138,1020,Newbie
5,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,3431,2,219,1239,Pupil
6,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,7021,2,33,1272,Pupil
7,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,7342,3,-33,1239,Pupil
8,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,6357,1,4,1243,Pupil
9,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,9896,0,-115,1128,Newbie
10,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,5841,2,47,1175,Newbie
11,Codeforces Global Round 10,Aug/16/2020 17:35,9502,1,-74,1101,Newbie
12,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,3359,3,122,1223,Pupil
13,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,6869,1,-19,1204,Pupil
14,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,4855,2,26,1230,Pupil
15,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,3922,2,-2,1228,Pupil
16,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,4492,1,-9,1219,Pupil
17,Codeforces Global Round 11,Oct/10/2020 17:50,5000,1,5,1224,Pupil
18,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,2098,3,100,1324,Pupil
19,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,1405,3,61,1385,Pupil
20,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,5947,2,-34,1351,Pupil
21,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,10423,0,-129,1222,Pupil
22,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,4401,2,41,1263,Pupil
23,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,3339,3,55,1318,Pupil
24,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,6127,1,-19,1299,Pupil
25,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,4714,1,-58,1241,Pupil
26,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,2729,2,34,1275,Pupil
27,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,4022,2,5,1280,Pupil
28,Codeforces Round 713 (Div. 3),Apr/10/2021 17:35,3306,4,8,1288,Pupil
29,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,4436,3,3,1291,Pupil
30,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,1978,3,79,1370,Pupil
31,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,7896,1,-81,1289,Pupil
32,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,4585,2,18,1307,Pupil
33,Codeforces Round 719 (Div. 3),May/05/2021 17:35,1934,5,55,1362,Pupil
34,Codeforces Round 720 (Div. 2),May/07/2021 17:35,3206,2,40,1402,Specialist
