#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 728 (Div. 2),Jun/25/2021 18:35,4399,2,483,483,Newbie
2,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,4754,1,321,804,Newbie
3,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,886,3,393,1197,Newbie
4,Codeforces Round 731 (Div. 3),Jul/10/2021 17:35,960,5,191,1388,Pupil
5,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,5668,1,16,1404,Specialist
6,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,3413,2,56,1460,Specialist
7,Codeforces Round 734 (Div. 3),Jul/23/2021 17:35,3028,3,-22,1438,Specialist
8,Codeforces Global Round 15,Jul/25/2021 17:35,1725,3,96,1534,Specialist
9,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,2858,2,-5,1529,Specialist
10,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,914,4,89,1618,Expert
11,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,2468,2,-10,1608,Expert
12,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,2120,4,6,1614,Expert
13,"Codeforces Round 740 (Div. 2, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,1995,3,-14,1600,Expert
14,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,1246,4,39,1639,Expert
15,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,2237,3,8,1647,Expert
16,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,1838,3,-4,1643,Expert
17,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,1704,3,1,1644,Expert
18,Codeforces Global Round 16,Sep/12/2021 17:35,1523,5,49,1693,Expert
19,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,844,3,42,1735,Expert
20,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,2825,2,-95,1640,Expert
21,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,6421,1,-125,1515,Specialist
22,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,1800,4,12,1527,Specialist
23,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,2068,3,-15,1512,Specialist
24,Codeforces Round 748 (Div. 3),Oct/13/2021 17:35,780,5,40,1552,Specialist
25,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,2583,2,-14,1538,Specialist
26,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,928,4,59,1597,Specialist
27,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,793,3,17,1614,Expert
28,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,926,3,55,1669,Expert
29,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,1126,3,16,1685,Expert
30,"Codeforces Round 755 (Div. 2, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,102,4,112,1797,Expert
31,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,909,4,-29,1768,Expert
32,Codeforces Global Round 17,Nov/23/2021 17:35,1861,3,-23,1745,Expert
33,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,1423,4,6,1751,Expert
34,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,2632,3,-64,1687,Expert
35,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,2752,2,-56,1631,Expert
36,"Codeforces Round 759 (Div. 2, based on Technocup 2022 Elimination Round 3)",Dec/12/2021 18:15,378,4,86,1717,Expert
37,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,2080,3,-49,1668,Expert
38,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,1871,2,-22,1646,Expert
39,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,1522,3,8,1654,Expert
40,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,831,4,43,1697,Expert
41,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,2570,3,-42,1655,Expert
42,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,1053,3,47,1702,Expert
43,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,1277,4,5,1707,Expert
44,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,1022,3,32,1739,Expert
45,Codeforces Global Round 19,Feb/12/2022 17:35,2180,3,-10,1729,Expert
46,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,4715,2,-97,1632,Expert
47,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,461,4,88,1720,Expert
48,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,989,4,15,1735,Expert
49,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,523,3,43,1778,Expert
50,"Codeforces Round 775 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,302,4,46,1824,Expert
51,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,38,4,164,1988,Candidate Master
52,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,641,2,-24,1964,Candidate Master
53,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,393,4,14,1978,Candidate Master
54,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,30,5,139,2117,Master
55,Codeforces Global Round 23,Oct/15/2022 17:35,1223,4,-46,2071,Candidate Master
56,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,280,4,-1,2070,Candidate Master
57,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,28,5,113,2183,Master
58,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,272,5,68,2251,Master
