#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 371 (Div. 2),Sep/13/2016 19:35,848,3,43,1543,Specialist
2,Codeforces Round 372 (Div. 2),Sep/17/2016 16:45,827,3,45,1588,Specialist
3,Codeforces Round 373 (Div. 2),Sep/23/2016 16:05,825,2,35,1623,Expert
4,"Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)",Oct/01/2016 17:05,561,4,104,1727,Expert
5,"Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)",Oct/08/2016 15:15,860,3,15,1742,Expert
6,Canada Cup 2016,Oct/22/2016 18:05,641,3,44,1786,Expert
7,Codeforces Round 379 (Div. 2),Nov/15/2016 19:35,99,4,74,1860,Expert
8,"Codeforces Round 380 (Div. 2, Rated, Based on Technocup 2017 - Elimination Round 2)",Nov/20/2016 12:05,93,4,44,1904,Candidate Master
9,Codeforces Round 381 (Div. 1),Nov/23/2016 19:35,300,2,23,1927,Candidate Master
10,Codeforces Round 383 (Div. 1),Dec/06/2016 17:35,498,1,-74,1853,Expert
11,Codeforces Round 384 (Div. 2),Dec/14/2016 17:35,116,4,61,1914,Candidate Master
12,Codeforces Round 385 (Div. 1),Dec/17/2016 19:35,191,2,80,1994,Candidate Master
13,Good Bye 2016,Dec/30/2016 17:15,1616,2,-59,1935,Candidate Master
14,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",Feb/20/2017 19:05,1165,2,-51,1884,Expert
15,Codeforces Round 402 (Div. 2),Feb/26/2017 11:05,33,5,102,1986,Candidate Master
16,"Codeforces Round 403 (Div. 1, based on Technocup 2017 Finals)",Mar/05/2017 16:05,294,2,-3,1983,Candidate Master
17,"Codeforces Round 405 (rated, Div. 1, based on VK Cup 2017 Round 1)",Mar/18/2017 18:35,296,1,-26,1957,Candidate Master
18,Codeforces Round 407 (Div. 1),Mar/29/2017 19:05,242,2,26,1983,Candidate Master
19,"Tinkoff Challenge - Final Round (Codeforces Round 414, rated, Div. 1 + Div. 2)",May/13/2017 12:35,780,2,-66,1917,Candidate Master
20,"Codeforces Round 423 (Div. 1, rated, based on VK Cup Finals)",Jul/11/2017 19:45,95,3,134,2051,Candidate Master
21,"Codeforces Round 424 (Div. 1, rated, based on VK Cup Finals)",Jul/13/2017 18:05,233,2,4,2055,Candidate Master
22,Codeforces Round 426 (Div. 1),Jul/30/2017 17:35,126,2,70,2125,Master
23,Codeforces Round 431 (Div. 1),Sep/01/2017 16:35,207,2,15,2140,Master
24,"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,213,2,-27,2113,Master
25,MemSQL Start[c]UP 3.0 - Round 1,Sep/16/2017 20:35,92,5,95,2208,Master
26,MemSQL Start[c]UP 3.0 - Round 2 and Codeforces Round 437 (Div. 1),Sep/30/2017 20:05,183,2,-19,2189,Master
27,Codeforces Round 446 (Div. 1),Nov/17/2017 17:35,285,1,-57,2132,Master
