#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,118,4,718,718,Newbie
2,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,566,3,403,1121,Newbie
3,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,20,5,483,1604,Expert
4,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,468,3,169,1773,Expert
5,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,12,5,266,2039,Candidate Master
6,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,167,4,74,2113,Master
7,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,873,1,-92,2021,Candidate Master
8,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,57,4,106,2127,Master
9,Codeforces Global Round 14,May/02/2021 17:35,335,5,69,2196,Master
10,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,327,5,35,2231,Master
11,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,235,2,26,2257,Master
12,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,97,4,130,2387,International Master
13,Codeforces Global Round 16,Sep/12/2021 17:35,750,6,-66,2321,International Master
14,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,47,2,133,2454,Grandmaster
15,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,525,5,-45,2409,Grandmaster
16,Codeforces Global Round 19,Feb/12/2022 17:35,213,6,28,2437,Grandmaster
17,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,343,3,-50,2387,International Master
18,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,89,6,91,2478,Grandmaster
19,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,525,5,-57,2421,Grandmaster
20,Codeforces Global Round 20,Apr/23/2022 17:05,663,5,-71,2350,International Master
21,Codeforces Global Round 22,Sep/30/2022 17:35,46,6,151,2501,Grandmaster
22,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,265,5,-32,2469,Grandmaster
23,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,14,7,194,2663,International Grandmaster
