#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,1842,4,569,569,Newbie
2,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,1475,3,407,976,Newbie
3,Codeforces Global Round 12,Dec/06/2020 17:35,3614,2,225,1201,Pupil
4,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,3606,2,108,1309,Pupil
5,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,138,7,246,1555,Specialist
6,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,1341,3,91,1646,Expert
7,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,917,3,12,1658,Expert
8,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,816,3,25,1683,Expert
9,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,831,4,56,1739,Expert
10,Good Bye 2020,Dec/30/2020 17:35,1767,5,39,1778,Expert
11,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,303,4,73,1851,Expert
12,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,1158,2,-4,1847,Expert
13,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,584,4,27,1874,Expert
14,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,503,3,35,1909,Candidate Master
15,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,642,2,-16,1893,Expert
16,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,553,4,32,1925,Candidate Master
17,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,192,4,76,2001,Candidate Master
18,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,687,2,3,2004,Candidate Master
19,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,770,3,-22,1982,Candidate Master
20,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,1929,4,-79,1903,Candidate Master
21,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,1240,3,-21,1882,Expert
22,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,910,3,-11,1871,Expert
23,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,938,3,-2,1869,Expert
24,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,2085,2,-71,1798,Expert
25,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,131,4,98,1896,Expert
26,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,2203,2,-102,1794,Expert
27,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,204,4,100,1894,Expert
28,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,56,4,99,1993,Candidate Master
29,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,63,5,101,2094,Candidate Master
30,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,425,3,29,2123,Master
31,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,781,1,-73,2050,Candidate Master
32,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,528,3,-28,2022,Candidate Master
33,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,333,3,13,2035,Candidate Master
34,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,565,4,50,2085,Candidate Master
35,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,1137,4,-72,2013,Candidate Master
36,Codeforces Global Round 14,May/02/2021 17:35,839,4,21,2034,Candidate Master
37,Codeforces Round 720 (Div. 2),May/07/2021 17:35,688,3,-21,2013,Candidate Master
38,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,1516,2,-90,1923,Candidate Master
39,Codeforces Round 721 (Div. 2),May/20/2021 17:35,709,4,1,1924,Candidate Master
40,Codeforces Round 722 (Div. 1),May/24/2021 17:35,820,2,-41,1883,Expert
41,Codeforces Round 723 (Div. 2),May/28/2021 17:05,2205,4,-67,1816,Expert
42,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,1037,3,46,1862,Expert
43,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,784,4,5,1867,Expert
44,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,236,4,73,1940,Candidate Master
45,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,542,4,58,1998,Candidate Master
46,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,2112,4,-79,1919,Candidate Master
47,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,317,2,90,2009,Candidate Master
48,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,140,4,68,2077,Candidate Master
49,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,1463,3,-84,1993,Candidate Master
50,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,449,2,50,2043,Candidate Master
51,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,2365,2,-100,1943,Candidate Master
52,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,462,5,77,2020,Candidate Master
53,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,517,5,48,2068,Candidate Master
54,Codeforces Global Round 15,Jul/25/2021 17:35,507,5,48,2116,Master
55,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,519,2,10,2126,Master
56,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,816,1,-81,2045,Candidate Master
57,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,609,5,37,2082,Candidate Master
58,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,249,4,12,2094,Candidate Master
59,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,138,4,34,2128,Master
60,Codeforces Global Round 16,Sep/12/2021 17:35,665,6,6,2134,Master
61,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,379,1,-26,2108,Master
62,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,210,5,96,2204,Master
63,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,556,2,-85,2119,Master
64,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,516,2,3,2122,Master
65,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,382,2,-19,2103,Master
66,Codeforces Global Round 17,Nov/23/2021 17:35,155,5,125,2228,Master
67,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,750,4,-44,2184,Master
68,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,1400,2,-109,2075,Candidate Master
69,"Codeforces Round 759 (Div. 2, based on Technocup 2022 Elimination Round 3)",Dec/12/2021 18:15,266,4,-13,2062,Candidate Master
70,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,42,5,95,2157,Master
71,Codeforces Global Round 18,Dec/24/2021 17:35,174,5,107,2264,Master
72,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,558,5,-3,2261,Master
73,Hello 2022,Jan/03/2022 17:35,325,5,39,2300,International Master
74,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,406,3,-20,2280,Master
75,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,281,3,12,2292,Master
76,Codeforces Global Round 19,Feb/12/2022 17:35,583,5,-24,2268,Master
77,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,539,2,-50,2218,Master
78,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,485,3,-37,2181,Master
79,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,804,3,-39,2142,Master
80,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,257,5,88,2230,Master
81,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,476,2,-32,2198,Master
82,Codeforces Global Round 20,Apr/23/2022 17:05,777,5,-34,2164,Master
83,Codeforces Round 789 (Div. 1),May/08/2022 17:35,464,3,-20,2144,Master
84,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,428,5,29,2173,Master
85,Codeforces Round 794 (Div. 1),May/25/2022 20:35,99,3,106,2279,Master
86,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,388,2,-38,2241,Master
87,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,266,3,24,2265,Master
88,Codeforces Global Round 21,Jun/25/2022 17:35,548,5,-11,2254,Master
