#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 187 (Div. 2),Jun/07/2013 19:30,50,3,206,1706,Expert
2,Codeforces Round 188 (Div. 1),Jun/14/2013 19:30,432,1,-27,1679,Expert
3,Codeforces Round 190 (Div. 2),Jun/28/2013 19:30,51,3,67,1746,Expert
4,Codeforces Round 192 (Div. 1),Jul/20/2013 17:30,447,1,-54,1692,Expert
5,Codeforces Round 193 (Div. 2),Jul/24/2013 19:30,417,2,-62,1630,Expert
6,Codeforces Round 194 (Div. 2),Jul/27/2013 12:30,1053,1,-90,1540,Specialist
7,Codeforces Round 195 (Div. 2),Aug/09/2013 19:30,69,3,150,1690,Expert
8,Codeforces Round 196 (Div. 2),Aug/16/2013 20:00,46,3,66,1756,Expert
9,Codeforces Round 200 (Div. 1),Sep/14/2013 19:30,268,3,50,1806,Expert
10,Codeforces Round 201 (Div. 1),Sep/20/2013 19:30,292,1,12,1818,Expert
11,Codeforces Round 202 (Div. 1),Sep/27/2013 19:30,415,1,-60,1758,Expert
12,Codeforces Round 204 (Div. 1),Oct/04/2013 19:30,456,0,-66,1692,Expert
13,Codeforces Round 206 (Div. 2),Oct/13/2013 19:30,68,3,51,1743,Expert
14,Codeforces Round 207 (Div. 1),Oct/15/2013 16:00,189,2,100,1843,Expert
15,Codeforces Round 219 (Div. 1),Dec/13/2013 18:00,403,1,-45,1798,Expert
16,Codeforces Round 222 (Div. 1),Dec/29/2013 19:30,409,1,-41,1757,Expert
17,Codeforces Round 225 (Div. 1),Jan/20/2014 19:30,578,1,-65,1692,Expert
18,Codeforces Round 234 (Div. 2),Mar/05/2014 19:30,489,3,-73,1619,Expert
19,Codeforces Round 235 (Div. 2),Mar/10/2014 19:30,39,4,122,1741,Expert
20,Codeforces Round 236 (Div. 1),Mar/16/2014 19:30,217,2,87,1828,Expert
21,Codeforces Round 238 (Div. 1),Mar/22/2014 19:30,273,2,24,1852,Expert
22,Codeforces Round 240 (Div. 1),Apr/06/2014 19:40,250,3,68,1920,Candidate Master
23,Codeforces Round 243 (Div. 1),Apr/27/2014 19:30,142,2,79,1999,Candidate Master
24,Codeforces Round 260 (Div. 1),Aug/08/2014 19:30,443,2,-65,1934,Candidate Master
25,Codeforces Round 263 (Div. 1),Aug/26/2014 18:00,474,1,-54,1880,Expert
26,Codeforces Round 265 (Div. 1),Sep/07/2014 19:30,614,1,-75,1805,Expert
27,Codeforces Round 272 (Div. 1),Oct/12/2014 18:00,488,1,6,1811,Expert
28,Codeforces Round 275 (Div. 1),Oct/24/2014 21:00,127,2,165,1976,Candidate Master
29,Codeforces Round 580 (Div. 1),Aug/18/2019 16:45,137,3,132,2108,Master
30,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,3035,1,-185,1923,Candidate Master
31,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,22,6,169,2092,Candidate Master
32,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,67,5,68,2160,Master
33,Codeforces Round 601 (Div. 1),Nov/19/2019 17:35,386,3,-29,2131,Master
34,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,354,2,9,2140,Master
35,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,243,3,57,2197,Master
36,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,376,3,-3,2194,Master
37,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,409,5,23,2217,Master
38,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,291,2,5,2222,Master
39,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,646,3,-33,2189,Master
40,Codeforces Round 641 (Div. 1),May/12/2020 15:35,909,2,-65,2124,Master
41,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,417,2,24,2148,Master
