#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 576 (Div. 2),Jul/30/2019 17:35,3806,2,-60,1440,Specialist
2,Codeforces Round 577 (Div. 2),Aug/04/2019 19:35,1405,3,47,1487,Specialist
3,Educational Codeforces Round 70 (Rated for Div. 2),Aug/07/2019 17:35,1161,2,47,1534,Specialist
4,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,2582,3,-9,1525,Specialist
5,Codeforces Round 579 (Div. 3),Aug/13/2019 17:35,777,5,38,1563,Specialist
6,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,2985,2,-17,1546,Specialist
7,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,61,6,166,1712,Expert
8,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,3078,3,-21,1691,Expert
9,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,961,3,71,1762,Expert
10,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,936,4,55,1817,Expert
11,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,1496,3,-8,1809,Expert
12,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,800,4,35,1844,Expert
13,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,240,4,113,1957,Candidate Master
14,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,1448,4,-42,1915,Candidate Master
15,Codeforces Round 645 (Div. 2),May/26/2020 17:35,2139,3,-45,1870,Expert
16,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,850,4,23,1893,Expert
17,Codeforces Round 646 (Div. 2),May/31/2020 17:35,3879,2,-73,1820,Expert
18,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,338,4,65,1885,Expert
19,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,785,4,16,1901,Candidate Master
20,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,83,4,111,2012,Candidate Master
21,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,269,4,20,2032,Candidate Master
22,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,47,5,103,2135,Master
23,Codeforces Global Round 22,Sep/30/2022 17:35,151,6,123,2258,Master
24,Dytechlab Cup 2022,Oct/07/2022 17:35,334,4,18,2276,Master
25,Codeforces Global Round 23,Oct/15/2022 17:35,463,4,6,2282,Master
26,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,855,4,-67,2215,Master
27,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,128,5,101,2316,International Master
28,Codeforces Global Round 24,Nov/26/2022 17:05,116,6,83,2399,International Master
29,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,396,4,2,2401,Grandmaster
