#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,4327,1,-39,1461,Specialist
2,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,7517,1,-93,1368,Pupil
3,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,4024,1,-41,1327,Pupil
4,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,2086,2,33,1360,Pupil
5,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,3314,3,37,1397,Pupil
6,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,6668,2,-16,1381,Pupil
7,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,3515,3,54,1435,Specialist
8,Codeforces Round 636 (Div. 3),Apr/21/2020 17:35,890,4,97,1532,Specialist
9,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,2931,3,40,1572,Specialist
10,Codeforces Round 638 (Div. 2),May/01/2020 17:35,7750,2,-62,1510,Specialist
11,Codeforces Round 641 (Div. 2),May/12/2020 15:35,2385,3,35,1545,Specialist
12,Codeforces Round 642 (Div. 3),May/14/2020 17:35,447,4,92,1637,Expert
13,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,1700,3,29,1666,Expert
14,Codeforces Round 646 (Div. 2),May/31/2020 17:35,4291,2,-31,1635,Expert
15,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,3423,3,-30,1605,Expert
16,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,1461,4,52,1657,Expert
17,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,760,4,66,1723,Expert
18,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,1631,2,11,1734,Expert
19,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,2216,3,-7,1727,Expert
20,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,2504,2,-20,1707,Expert
21,Codeforces Global Round 10,Aug/16/2020 17:35,1374,4,51,1758,Expert
22,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,1740,3,-9,1749,Expert
23,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,990,4,35,1784,Expert
24,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,71,4,146,1930,Candidate Master
25,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,1283,3,-24,1906,Candidate Master
26,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,753,3,10,1916,Candidate Master
27,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,1648,4,-51,1865,Expert
28,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,897,4,7,1872,Expert
29,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,1482,2,-52,1820,Expert
30,Codeforces Global Round 11,Oct/10/2020 17:50,1346,3,25,1845,Expert
31,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,45,5,166,2011,Candidate Master
32,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,61,4,98,2109,Master
33,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,533,2,-14,2095,Candidate Master
34,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,875,0,-104,1991,Candidate Master
35,Codeforces Global Round 12,Dec/06/2020 17:35,2427,2,-90,1901,Candidate Master
36,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,748,3,4,1905,Candidate Master
37,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,1106,4,-22,1883,Expert
38,Good Bye 2020,Dec/30/2020 17:35,1984,5,-10,1873,Expert
39,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,2440,3,-71,1802,Expert
40,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,2762,1,-54,1748,Expert
41,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,4262,2,-89,1659,Expert
42,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,747,3,52,1711,Expert
43,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,212,4,141,1852,Expert
44,Codeforces Global Round 13,Feb/28/2021 16:35,1176,4,39,1891,Expert
