#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 615 (Div. 3),Jan/22/2020 17:35,2866,3,-19,1481,Specialist
2,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,2566,2,7,1488,Specialist
3,Codeforces Round 617 (Div. 3),Feb/04/2020 17:35,2923,3,-20,1468,Specialist
4,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,4295,2,-22,1446,Specialist
5,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,5680,1,-67,1379,Pupil
6,"Codeforces Round 623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,1216,3,37,1416,Specialist
7,Codeforces Round 624 (Div. 3),Feb/24/2020 17:35,3090,3,-29,1387,Pupil
8,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,2689,3,52,1439,Specialist
9,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,525,3,145,1584,Specialist
10,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,1624,3,18,1602,Expert
11,Codeforces Global Round 23,Oct/15/2022 17:35,337,4,223,1825,Expert
12,Codeforces Round 829 (Div. 2),Oct/23/2022 10:50,185,6,65,1890,Expert
13,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,32,5,163,2053,Candidate Master
14,Codeforces Global Round 24,Nov/26/2022 17:05,219,5,101,2154,Master
