#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 488 by NEAR (Div. 2),Jun/16/2018 19:35,77,4,182,1682,Expert
2,Codeforces Round 489 (Div. 2),Jun/18/2018 19:35,971,2,-10,1672,Expert
3,Codeforces Round 491 (Div. 2),Jun/23/2018 18:35,1242,4,-17,1655,Expert
4,"Codeforces Round 492 (Div. 2) [Thanks, uDebug!]",Jun/24/2018 19:35,60,4,149,1804,Expert
5,Codeforces Round 493 (Div. 2),Jul/01/2018 17:05,67,4,104,1908,Candidate Master
6,Codeforces Round 497 (Div. 1),Jul/13/2018 17:35,377,1,-9,1899,Expert
7,Educational Codeforces Round 47 (Rated for Div. 2),Jul/14/2018 17:35,318,4,15,1914,Candidate Master
8,Codeforces Round 499 (Div. 1),Jul/26/2018 18:05,326,3,31,1945,Candidate Master
9,Codeforces Round 500 (Div. 1) [based on EJOI],Jul/30/2018 11:15,391,2,-41,1904,Candidate Master
10,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,737,3,-30,1874,Expert
11,"Codeforces Round 503 (by SIS, Div. 2)",Aug/11/2018 16:35,268,3,19,1893,Expert
12,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,748,4,6,1899,Expert
13,Educational Codeforces Round 49 (Rated for Div. 2),Aug/18/2018 17:35,89,5,100,1999,Candidate Master
14,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,1106,2,-48,1951,Candidate Master
15,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,1751,2,-101,1850,Expert
16,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,632,4,28,1878,Expert
17,"Codeforces Round 507 (Div. 2, based on Olympiad of Metropolises)",Sep/05/2018 19:35,139,3,43,1921,Candidate Master
18,Codeforces Round 508 (Div. 2),Sep/06/2018 18:35,257,4,37,1958,Candidate Master
19,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,113,4,63,2021,Candidate Master
20,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,611,4,-47,1974,Candidate Master
21,Codeforces Round 510 (Div. 2),Sep/17/2018 11:05,211,4,8,1982,Candidate Master
22,Educational Codeforces Round 51 (Rated for Div. 2),Sep/20/2018 17:45,256,4,5,1987,Candidate Master
23,Codeforces Round 511 (Div. 1),Sep/21/2018 17:35,89,2,131,2118,Master
24,"Codeforces Round 512 (Div. 1, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,348,2,-61,2057,Candidate Master
25,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,284,5,24,2081,Candidate Master
26,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,318,3,-23,2058,Candidate Master
27,Lyft Level 5 Challenge 2018 - Elimination Round,Oct/07/2018 20:05,206,4,63,2121,Master
28,"Codeforces Round 516 (Div. 1, by Moscow Team Olympiad)",Oct/14/2018 13:05,104,3,65,2186,Master
29,"Codeforces Round 517 (Div. 1, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,322,1,-66,2120,Master
30,"Codeforces Round 518 (Div. 1) [Thanks, Mail.Ru!]",Oct/24/2018 19:35,169,2,9,2129,Master
31,Codeforces Round 519 by Botan Investments,Oct/28/2018 18:35,629,5,-37,2092,Candidate Master
32,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 1),Nov/04/2018 21:10,158,3,4,2096,Candidate Master
33,Mail.Ru Cup 2018 Round 2,Nov/10/2018 17:35,173,4,55,2151,Master
34,Mail.Ru Cup 2018 Round 3,Nov/25/2018 19:35,390,4,-29,2122,Master
35,Codeforces Round 526 (Div. 1),Dec/10/2018 19:35,112,2,46,2168,Master
36,Avito Cool Challenge 2018,Dec/16/2018 17:35,219,5,18,2186,Master
37,"Codeforces Round 528 (Div. 1, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,293,2,-38,2148,Master
38,Good Bye 2018,Dec/30/2018 17:35,161,5,98,2246,Master
39,Hello 2019,Jan/04/2019 17:45,357,4,2,2248,Master
40,Codeforces Round 530 (Div. 1),Jan/05/2019 19:35,229,2,-16,2232,Master
41,Codeforces Round 534 (Div. 1),Jan/22/2019 17:35,275,2,-42,2190,Master
42,Codeforces Global Round 1,Feb/07/2019 16:35,361,4,19,2209,Master
43,Codeforces Round 539 (Div. 1),Feb/16/2019 19:35,128,3,29,2238,Master
44,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 1),Feb/24/2019 18:35,264,3,-54,2184,Master
45,Codeforces Round 545 (Div. 1),Mar/08/2019 12:05,316,2,-53,2131,Master
46,Codeforces Round 549 (Div. 1),Mar/30/2019 20:10,210,2,-15,2116,Master
47,Codeforces Global Round 2,Apr/06/2019 14:35,191,5,73,2189,Master
48,Forethought Future Cup - Elimination Round,Apr/20/2019 21:05,181,4,26,2215,Master
49,Codeforces Round 556 (Div. 1),Apr/29/2019 17:35,400,1,-50,2165,Master
50,Codeforces Round 557 (Div. 1) [based on Forethought Future Cup - Final Round],May/04/2019 20:05,63,4,101,2266,Master
51,Codeforces Round 559 (Div. 1),May/12/2019 17:35,133,3,8,2274,Master
52,Codeforces Round 562 (Div. 1),May/26/2019 18:35,181,3,-13,2261,Master
53,Codeforces Global Round 3,Jun/01/2019 17:35,95,5,85,2346,International Master
54,Codeforces Round 564 (Div. 1),Jun/07/2019 15:05,174,3,-16,2330,International Master
55,Codeforces Round 569 (Div. 1),Jun/21/2019 20:05,169,3,-18,2312,International Master
56,Codeforces Round 572 (Div. 1),Jul/05/2019 18:05,31,3,129,2441,Grandmaster
57,Codeforces Round 573 (Div. 1),Jul/12/2019 17:35,456,2,-112,2329,International Master
58,Codeforces Global Round 4,Jul/20/2019 18:35,60,7,94,2423,Grandmaster
59,Codeforces Round 576 (Div. 1),Jul/30/2019 17:35,266,3,-62,2361,International Master
60,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,110,5,45,2406,Grandmaster
61,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,413,4,-77,2329,International Master
62,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,213,7,17,2346,International Master
63,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,152,5,15,2361,International Master
64,Codeforces Round 588 (Div. 1),Sep/23/2019 17:05,119,3,28,2389,International Master
65,Codeforces Global Round 5,Oct/16/2019 17:35,140,6,42,2431,Grandmaster
66,Codeforces Round 594 (Div. 1),Oct/20/2019 12:05,156,2,-24,2407,Grandmaster
67,"Codeforces Round 596 (Div. 1, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,141,3,-9,2398,International Master
68,Codeforces Round 599 (Div. 1),Nov/06/2019 18:05,193,3,-9,2389,International Master
69,Codeforces Round 601 (Div. 1),Nov/19/2019 17:35,48,5,89,2478,Grandmaster
70,"Codeforces Round 602 (Div. 1, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,62,6,31,2509,Grandmaster
71,Codeforces Round 604 (Div. 1),Dec/05/2019 17:35,79,3,21,2530,Grandmaster
72,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,505,2,-138,2392,International Master
73,Codeforces Global Round 6,Dec/17/2019 18:05,134,5,38,2430,Grandmaster
74,Codeforces Round 609 (Div. 1),Dec/21/2019 14:05,65,3,50,2480,Grandmaster
