#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,4437,2,-44,1456,Specialist
2,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,930,3,103,1559,Specialist
3,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,6865,1,-56,1503,Specialist
4,Codeforces Round 644 (Div. 3),May/24/2020 16:35,1897,5,11,1514,Specialist
5,Codeforces Round 656 (Div. 3),Jul/17/2020 17:35,2024,4,1,1515,Specialist
6,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,2429,4,28,1543,Specialist
7,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,2482,2,26,1569,Specialist
8,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,1906,3,44,1613,Expert
9,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,4035,2,-36,1577,Specialist
10,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,1872,3,35,1612,Expert
11,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,1810,3,29,1641,Expert
12,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,3794,2,-51,1590,Specialist
13,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,5198,3,-80,1510,Specialist
14,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,271,5,188,1698,Expert
15,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,328,3,120,1818,Expert
16,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,1317,3,-24,1794,Expert
17,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,404,4,79,1873,Expert
18,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,1072,3,-12,1861,Expert
19,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,1596,3,-43,1818,Expert
20,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,899,4,11,1829,Expert
21,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,2291,2,-47,1782,Expert
22,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,516,4,52,1834,Expert
23,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,1628,2,-32,1802,Expert
24,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,6852,1,-160,1642,Expert
25,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,982,3,26,1668,Expert
26,Codeforces Global Round 14,May/02/2021 17:35,1193,4,78,1746,Expert
27,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,511,3,45,1791,Expert
28,Codeforces Round 722 (Div. 2),May/24/2021 17:35,204,4,81,1872,Expert
29,Codeforces Round 723 (Div. 2),May/28/2021 17:05,181,5,91,1963,Candidate Master
30,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,1010,4,-35,1928,Candidate Master
31,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,485,3,77,2005,Candidate Master
