#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,1905,3,555,555,Newbie
2,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,1521,3,433,988,Newbie
3,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,3912,2,199,1187,Newbie
4,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,2361,3,172,1359,Pupil
5,Codeforces Global Round 14,May/02/2021 17:35,7642,2,5,1364,Pupil
6,Codeforces Round 719 (Div. 3),May/05/2021 17:35,379,6,168,1532,Specialist
7,Codeforces Round 720 (Div. 2),May/07/2021 17:35,1236,2,73,1605,Expert
8,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,2320,2,-29,1576,Specialist
9,Codeforces Round 722 (Div. 2),May/24/2021 17:35,1812,3,13,1589,Specialist
10,Codeforces Round 723 (Div. 2),May/28/2021 17:05,3264,3,-28,1561,Specialist
11,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,390,4,136,1697,Expert
12,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,2114,2,-33,1664,Expert
13,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,2305,3,-12,1652,Expert
14,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,103,4,158,1810,Expert
15,"Codeforces Round 740 (Div. 2, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,1159,4,-24,1786,Expert
16,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,445,4,60,1846,Expert
17,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,481,4,34,1880,Expert
18,Codeforces Global Round 16,Sep/12/2021 17:35,1238,5,10,1890,Expert
19,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,685,3,3,1893,Expert
20,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,189,3,39,1932,Candidate Master
21,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,942,3,-33,1899,Expert
22,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,222,5,53,1952,Candidate Master
23,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,1175,3,-70,1882,Expert
24,Technocup 2022 - Elimination Round 1,Oct/17/2021 14:05,145,4,-12,1870,Expert
25,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,515,3,26,1896,Expert
26,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,112,4,69,1965,Candidate Master
27,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,76,4,99,2064,Candidate Master
28,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,85,5,67,2131,Master
29,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,206,4,70,2201,Master
30,Codeforces Global Round 18,Dec/24/2021 17:35,1219,3,-75,2126,Master
31,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,1579,3,-65,2061,Candidate Master
32,Hello 2022,Jan/03/2022 17:35,1403,3,-40,2021,Candidate Master
33,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,652,2,-29,1992,Candidate Master
34,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,233,4,46,2038,Candidate Master
35,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,967,4,-60,1978,Candidate Master
36,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,4399,2,-136,1842,Expert
37,Codeforces Global Round 19,Feb/12/2022 17:35,1773,4,-16,1826,Expert
38,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,723,3,16,1842,Expert
39,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,1513,3,-48,1794,Expert
40,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,740,4,15,1809,Expert
41,Технокубок 2022 - Финал,Mar/20/2022 11:15,582,2,-107,1702,Expert
42,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,542,4,61,1763,Expert
43,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,899,4,74,1837,Expert
44,Codeforces Round 779 (Div. 2),Mar/27/2022 17:35,52,5,150,1987,Candidate Master
45,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,108,4,64,2051,Candidate Master
46,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,234,4,13,2064,Candidate Master
47,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,387,2,36,2100,Master
48,Codeforces Round 789 (Div. 1),May/08/2022 17:35,561,3,-33,2067,Candidate Master
49,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,16,5,139,2206,Master
50,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,1675,3,-109,2097,Candidate Master
51,Codeforces Round 793 (Div. 2),May/22/2022 17:35,741,3,-59,2038,Candidate Master
52,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,1570,3,-88,1950,Candidate Master
53,Codeforces Round 794 (Div. 1),May/25/2022 20:35,259,2,68,2018,Candidate Master
