#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 593 (Div. 2),Oct/17/2019 16:35,714,3,100,1600,Expert
2,Codeforces Round 594 (Div. 2),Oct/20/2019 12:05,98,4,157,1757,Expert
3,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,275,4,78,1835,Expert
4,"Codeforces Round 596 (Div. 2, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,1411,3,-69,1766,Expert
5,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,351,4,73,1839,Expert
6,Codeforces Round 599 (Div. 2),Nov/06/2019 18:05,323,4,28,1867,Expert
7,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,307,5,49,1916,Candidate Master
8,Codeforces Round 601 (Div. 1),Nov/19/2019 17:35,467,2,7,1923,Candidate Master
9,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,609,3,-11,1912,Candidate Master
10,Codeforces Round 603 (Div. 2),Nov/29/2019 17:35,898,4,-32,1880,Expert
11,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,16,5,163,2043,Candidate Master
12,Codeforces Global Round 6,Dec/17/2019 18:05,467,5,31,2074,Candidate Master
13,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,1025,3,-79,1995,Candidate Master
14,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,575,4,-10,1985,Candidate Master
15,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,712,2,-49,1936,Candidate Master
16,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,207,3,140,2076,Candidate Master
17,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,1132,4,-62,2014,Candidate Master
18,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,83,4,89,2103,Master
19,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,344,4,48,2151,Master
20,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,939,1,-77,2074,Candidate Master
21,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,117,6,79,2153,Master
22,Codeforces Global Round 8,Jun/18/2020 17:45,721,4,9,2162,Master
23,Codeforces Global Round 9,Jul/04/2020 17:45,348,5,74,2236,Master
24,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,897,0,-115,2121,Master
25,Codeforces Global Round 10,Aug/16/2020 17:35,591,5,19,2140,Master
26,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,986,1,-82,2058,Candidate Master
27,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,84,4,95,2153,Master
28,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,399,3,13,2166,Master
29,Grakn Forces 2020,Sep/30/2020 17:35,1121,4,-46,2120,Master
30,Codeforces Global Round 11,Oct/10/2020 17:50,318,4,78,2198,Master
31,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,606,5,0,2198,Master
32,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,211,2,57,2255,Master
33,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,141,3,70,2325,International Master
34,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,796,2,-115,2210,Master
35,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,468,2,-24,2186,Master
36,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,320,2,15,2201,Master
37,Codeforces Global Round 12,Dec/06/2020 17:35,43,8,200,2401,Grandmaster
38,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,253,2,-25,2376,International Master
39,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,117,3,51,2427,Grandmaster
40,Good Bye 2020,Dec/30/2020 17:35,526,6,-29,2398,International Master
41,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,178,3,20,2418,Grandmaster
42,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,750,2,-97,2321,International Master
43,Codeforces Global Round 13,Feb/28/2021 16:35,425,4,8,2329,International Master
44,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,249,3,26,2355,International Master
45,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,220,2,-2,2353,International Master
46,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,460,3,-52,2301,International Master
47,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,158,3,63,2364,International Master
48,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,170,3,28,2392,International Master
49,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,364,4,-7,2385,International Master
50,Codeforces Global Round 14,May/02/2021 17:35,280,5,16,2401,Grandmaster
51,Codeforces Round 722 (Div. 1),May/24/2021 17:35,517,2,-70,2331,International Master
52,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,438,3,-8,2323,International Master
53,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,146,6,69,2392,International Master
54,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,54,3,104,2496,Grandmaster
55,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,89,2,57,2553,Grandmaster
56,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,973,4,-133,2420,Grandmaster
57,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,197,6,16,2436,Grandmaster
58,Codeforces Global Round 15,Jul/25/2021 17:35,148,6,51,2487,Grandmaster
59,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,464,3,-81,2406,Grandmaster
60,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,133,6,67,2473,Grandmaster
61,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,515,0,-144,2329,International Master
62,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,93,6,97,2426,Grandmaster
63,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,319,2,-66,2360,International Master
64,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,90,3,105,2465,Grandmaster
65,Codeforces Global Round 17,Nov/23/2021 17:35,215,5,1,2466,Grandmaster
66,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,66,4,63,2529,Grandmaster
67,Codeforces Global Round 18,Dec/24/2021 17:35,305,4,-35,2494,Grandmaster
68,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,494,3,-84,2410,Grandmaster
69,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,154,4,34,2444,Grandmaster
70,Codeforces Global Round 19,Feb/12/2022 17:35,276,6,0,2444,Grandmaster
71,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,219,3,-3,2441,Grandmaster
72,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,618,2,-111,2330,International Master
73,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,170,5,56,2386,International Master
74,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,136,3,52,2438,Grandmaster
75,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,505,4,-58,2380,International Master
76,Codeforces Round 794 (Div. 1),May/25/2022 20:35,72,3,75,2455,Grandmaster
77,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,162,3,17,2472,Grandmaster
78,Codeforces Global Round 21,Jun/25/2022 17:35,75,6,97,2569,Grandmaster
79,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,234,5,-20,2549,Grandmaster
80,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,391,3,-86,2463,Grandmaster
81,Codeforces Global Round 22,Sep/30/2022 17:35,37,7,136,2599,Grandmaster
82,Codeforces Global Round 23,Oct/15/2022 17:35,430,4,-67,2532,Grandmaster
83,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,44,6,68,2600,International Grandmaster
84,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,45,6,75,2675,International Grandmaster
85,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,329,3,-87,2588,Grandmaster
86,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,202,6,-30,2558,Grandmaster
