#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 411 (Div. 2),May/04/2017 17:50,1811,3,-32,1468,Specialist
2,"Codeforces Round 412 (rated, Div. 2, base on VK Cup 2017 Round 3)",May/07/2017 18:45,1628,2,-46,1422,Specialist
3,"Playrix Codescapes Cup (Codeforces Round 413, rated, Div. 1 + Div. 2)",May/11/2017 18:35,2191,1,-24,1398,Pupil
4,Codeforces Round 415 (Div. 2),May/20/2017 21:05,774,2,41,1439,Specialist
5,Codeforces Round 419 (Div. 2),Jun/17/2017 17:35,2916,0,-113,1326,Pupil
6,"Manthan, Codefest 17",Sep/24/2017 17:35,2382,1,-23,1303,Pupil
7,Codeforces Round 439 (Div. 2),Oct/06/2017 16:35,2047,1,6,1309,Pupil
8,Codeforces Round 442 (Div. 2),Oct/23/2017 18:45,880,2,108,1417,Specialist
9,Codeforces Round 443 (Div. 2),Oct/26/2017 17:45,3418,1,-75,1342,Pupil
10,Codeforces Round 455 (Div. 2),Dec/27/2017 19:35,621,2,113,1455,Specialist
11,Educational Codeforces Round 35 (Rated for Div. 2),Dec/28/2017 17:05,400,4,100,1555,Specialist
12,Hello 2018,Jan/08/2018 17:45,2441,2,-10,1545,Specialist
13,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,1662,3,5,1550,Specialist
14,Educational Codeforces Round 38 (Rated for Div. 2),Feb/16/2018 18:05,782,3,26,1576,Specialist
15,Codeforces Round 465 (Div. 2),Feb/19/2018 19:35,1825,2,-42,1534,Specialist
16,Технокубок 2018 - Финал (только для онсайт-финалистов),Mar/04/2018 11:40,177,3,15,1549,Specialist
17,Educational Codeforces Round 43 (Rated for Div. 2),Apr/30/2018 17:40,476,3,57,1606,Expert
18,Codeforces Round 478 (Div. 2),May/01/2018 17:05,847,3,-6,1600,Expert
19,Codeforces Round 482 (Div. 2),May/14/2018 17:35,157,3,159,1759,Expert
20,Educational Codeforces Round 44 (Rated for Div. 2),May/21/2018 17:45,249,4,71,1830,Expert
21,Codeforces Round 488 by NEAR (Div. 2),Jun/16/2018 19:35,99,4,64,1894,Expert
22,Codeforces Round 489 (Div. 2),Jun/18/2018 19:35,473,3,-12,1882,Expert
23,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,1653,2,-80,1802,Expert
24,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,1707,3,-47,1755,Expert
25,"Codeforces Round 507 (Div. 2, based on Olympiad of Metropolises)",Sep/05/2018 19:35,385,2,20,1775,Expert
26,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,958,3,-18,1757,Expert
27,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,84,3,108,1865,Expert
28,Technocup 2019 - Elimination Round 1,Sep/23/2018 16:05,148,4,7,1872,Expert
29,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,482,3,6,1878,Expert
30,Lyft Level 5 Challenge 2018 - Elimination Round,Oct/07/2018 20:05,994,3,-34,1844,Expert
31,"Codeforces Round 518 (Div. 2) [Thanks, Mail.Ru!]",Oct/24/2018 19:35,36,4,125,1969,Candidate Master
32,"Codeforces Round 528 (Div. 1, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,301,2,12,1981,Candidate Master
33,Good Bye 2018,Dec/30/2018 17:35,2250,4,-73,1908,Candidate Master
34,Hello 2019,Jan/04/2019 17:45,1746,3,-43,1865,Expert
35,Codeforces Round 530 (Div. 2),Jan/05/2019 19:35,111,4,69,1934,Candidate Master
36,Technocup 2019 - Final,Mar/03/2019 11:30,214,2,-47,1887,Expert
37,Educational Codeforces Round 61 (Rated for Div. 2),Mar/05/2019 18:05,121,4,74,1961,Candidate Master
38,Codeforces Round 561 (Div. 2),May/17/2019 18:05,72,5,86,2047,Candidate Master
39,Codeforces Global Round 3,Jun/01/2019 17:35,1280,3,-73,1974,Candidate Master
40,Codeforces Round 563 (Div. 2),Jun/03/2019 17:05,93,4,72,2046,Candidate Master
