#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 432 (Div. 2, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,3639,1,-104,1396,Pupil
2,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,147,4,231,1627,Expert
3,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,1924,2,-17,1610,Expert
4,Codeforces Round 788 (Div. 2),May/06/2022 17:35,109,5,177,1787,Expert
5,Codeforces Round 789 (Div. 2),May/08/2022 17:35,30,5,165,1952,Candidate Master
6,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,1842,3,-80,1872,Expert
7,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,200,4,51,1923,Candidate Master
8,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,64,4,109,2032,Candidate Master
9,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,218,3,29,2061,Candidate Master
10,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,652,3,-44,2017,Candidate Master
11,Educational Codeforces Round 139 (Rated for Div. 2),Dec/12/2022 17:35,49,5,98,2115,Master
