#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 17,Nov/23/2021 17:35,1337,3,609,609,Newbie
2,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,167,4,541,1150,Newbie
3,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,747,3,294,1444,Specialist
4,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,23,5,366,1810,Expert
5,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,59,5,206,2016,Candidate Master
6,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,640,3,-2,2014,Candidate Master
7,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,708,4,-44,1970,Candidate Master
8,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,170,4,51,2021,Candidate Master
9,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,42,5,108,2129,Master
10,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,414,5,26,2155,Master
