#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 15,Jul/25/2021 17:35,225,6,809,809,Newbie
2,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,699,4,407,1216,Pupil
3,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,459,4,294,1510,Specialist
4,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,1393,3,135,1645,Expert
5,"Codeforces Round 740 (Div. 2, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,127,5,203,1848,Expert
6,Codeforces Global Round 16,Sep/12/2021 17:35,620,6,124,1972,Candidate Master
7,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,271,2,73,2045,Candidate Master
8,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,372,4,-6,2039,Candidate Master
9,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,144,4,37,2076,Candidate Master
10,Codeforces Global Round 18,Dec/24/2021 17:35,685,3,9,2085,Candidate Master
11,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,660,3,-29,2056,Candidate Master
12,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,317,4,11,2067,Candidate Master
13,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,280,3,70,2137,Master
14,Codeforces Global Round 22,Sep/30/2022 17:35,1312,3,-66,2071,Candidate Master
15,Codeforces Global Round 23,Oct/15/2022 17:35,982,4,-12,2059,Candidate Master
16,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,16,6,146,2205,Master
17,Codeforces Global Round 24,Nov/26/2022 17:05,238,5,52,2257,Master
18,Hello 2023,Jan/03/2023 17:35,473,5,10,2267,Master
