#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 572 (Div. 2),Jul/05/2019 18:05,1414,3,15,1515,Specialist
2,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,2101,3,4,1519,Specialist
3,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,2672,2,-8,1511,Specialist
4,Codeforces Round 582 (Div. 3),Aug/30/2019 17:35,1737,4,-6,1505,Specialist
5,Codeforces Round 603 (Div. 2),Nov/29/2019 17:35,2681,2,-29,1476,Specialist
6,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,1071,3,68,1544,Specialist
7,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,990,4,63,1607,Expert
8,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,2322,2,-38,1569,Specialist
9,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,607,4,88,1657,Expert
10,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,3534,3,-55,1602,Expert
11,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,2555,3,-8,1594,Specialist
12,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,840,4,85,1679,Expert
13,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,2516,3,2,1681,Expert
14,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,2235,4,15,1696,Expert
15,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,1662,3,36,1732,Expert
16,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,750,4,45,1777,Expert
17,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,402,4,80,1857,Expert
18,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,4274,2,-72,1785,Expert
19,Codeforces Round 638 (Div. 2),May/01/2020 17:35,93,4,178,1963,Candidate Master
20,Codeforces Round 646 (Div. 2),May/31/2020 17:35,291,4,68,2031,Candidate Master
21,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,969,1,-61,1970,Candidate Master
22,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,1214,3,-28,1942,Candidate Master
23,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,744,4,4,1946,Candidate Master
24,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,305,4,50,1996,Candidate Master
25,Codeforces Global Round 9,Jul/04/2020 17:45,554,4,84,2080,Candidate Master
26,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,1200,2,-84,1996,Candidate Master
27,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,1170,0,-94,1902,Candidate Master
28,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,544,4,43,1945,Candidate Master
29,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,169,4,88,2033,Candidate Master
30,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,343,4,21,2054,Candidate Master
31,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,690,1,-10,2044,Candidate Master
32,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,177,5,54,2098,Candidate Master
33,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,1567,3,-80,2018,Candidate Master
34,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,341,4,27,2045,Candidate Master
35,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,496,2,31,2076,Candidate Master
36,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,248,5,23,2099,Candidate Master
37,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,872,1,-78,2021,Candidate Master
38,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,142,3,52,2073,Candidate Master
39,Codeforces Global Round 11,Oct/10/2020 17:50,3437,2,-137,1936,Candidate Master
40,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,1093,4,15,1951,Candidate Master
41,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,1536,3,-68,1883,Expert
42,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,2330,3,-80,1803,Expert
43,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,135,5,82,1885,Expert
44,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,552,4,-23,1862,Expert
45,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,257,5,81,1943,Candidate Master
46,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,125,4,91,2034,Candidate Master
47,Codeforces Global Round 12,Dec/06/2020 17:35,1016,3,-11,2023,Candidate Master
48,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,57,5,97,2120,Master
49,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,484,3,2,2122,Master
50,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,448,2,-9,2113,Master
51,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,422,3,36,2149,Master
52,Codeforces Global Round 13,Feb/28/2021 16:35,240,5,100,2249,Master
53,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,536,2,-37,2212,Master
54,Codeforces Global Round 14,May/02/2021 17:35,724,5,-15,2197,Master
55,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,940,3,-41,2156,Master
56,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,184,6,95,2251,Master
57,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,227,2,23,2274,Master
58,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,185,5,60,2334,International Master
59,Codeforces Global Round 15,Jul/25/2021 17:35,247,6,37,2371,International Master
60,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,542,2,-56,2315,International Master
61,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,149,6,83,2398,International Master
62,Codeforces Global Round 16,Sep/12/2021 17:35,235,6,23,2421,Grandmaster
63,Codeforces Global Round 18,Dec/24/2021 17:35,1420,3,-139,2282,Master
64,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,143,5,104,2386,International Master
65,Hello 2022,Jan/03/2022 17:35,139,5,74,2460,Grandmaster
66,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,310,4,-32,2428,Grandmaster
67,Codeforces Global Round 20,Apr/23/2022 17:05,115,6,78,2506,Grandmaster
68,Codeforces Round 789 (Div. 1),May/08/2022 17:35,231,3,-31,2475,Grandmaster
69,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,98,6,60,2535,Grandmaster
70,Codeforces Global Round 21,Jun/25/2022 17:35,814,5,-108,2427,Grandmaster
71,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,118,3,46,2473,Grandmaster
72,Codeforces Global Round 23,Oct/15/2022 17:35,1297,4,-131,2342,International Master
73,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,900,2,-122,2220,Master
74,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,989,3,-76,2144,Master
75,Codeforces Global Round 24,Nov/26/2022 17:05,752,4,-37,2107,Master
76,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,311,5,65,2172,Master
