#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 500 (Div. 2) [based on EJOI],Jul/30/2018 11:15,1526,2,-23,1477,Specialist
2,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,1501,3,18,1495,Specialist
3,"Codeforces Round 516 (Div. 2, by Moscow Team Olympiad)",Oct/14/2018 13:05,992,3,30,1525,Specialist
4,"Codeforces Round 517 (Div. 2, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,472,3,60,1585,Specialist
5,Good Bye 2018,Dec/30/2018 17:35,1250,4,86,1671,Expert
6,Codeforces Round 533 (Div. 2),Jan/20/2019 15:05,1925,2,-36,1635,Expert
7,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,438,4,71,1706,Expert
8,Codeforces Round 545 (Div. 2),Mar/08/2019 12:05,306,4,43,1749,Expert
9,Codeforces Global Round 2,Apr/06/2019 14:35,337,5,133,1882,Expert
10,Codeforces Global Round 4,Jul/20/2019 18:35,378,6,79,1961,Candidate Master
11,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,366,6,76,2037,Candidate Master
12,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,102,5,54,2091,Candidate Master
13,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,343,4,-23,2068,Candidate Master
14,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,3329,3,-141,1927,Candidate Master
15,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,555,4,-6,1921,Candidate Master
16,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,108,5,226,2147,Master
