#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 430 (Div. 2),Aug/29/2017 18:05,2,5,377,1877,Expert
2,Codeforces Round 439 (Div. 2),Oct/06/2017 16:35,98,3,58,1935,Candidate Master
3,Codeforces Round 467 (Div. 1),Feb/25/2018 19:05,210,1,39,1974,Candidate Master
4,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,172,4,93,2067,Candidate Master
5,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,44,4,83,2150,Master
6,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,405,3,5,2155,Master
7,Codeforces Global Round 16,Sep/12/2021 17:35,4092,5,-180,1975,Candidate Master
8,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,28,5,137,2112,Master
9,Codeforces Global Round 23,Oct/15/2022 17:35,590,4,27,2139,Master
10,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,428,4,13,2152,Master
