#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 2,Apr/06/2019 14:35,237,5,243,1743,Expert
2,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,70,5,162,1905,Candidate Master
3,Forethought Future Cup - Elimination Round,Apr/20/2019 21:05,246,4,76,1981,Candidate Master
4,Codeforces Round 557 (Div. 1) [based on Forethought Future Cup - Final Round],May/04/2019 20:05,155,3,74,2055,Candidate Master
5,Codeforces Global Round 3,Jun/01/2019 17:35,163,5,100,2155,Master
6,Codeforces Round 564 (Div. 1),Jun/07/2019 15:05,230,2,7,2162,Master
7,Codeforces Round 569 (Div. 1),Jun/21/2019 20:05,79,3,92,2254,Master
8,Codeforces Global Round 4,Jul/20/2019 18:35,398,5,-22,2232,Master
9,Codeforces Round 580 (Div. 1),Aug/18/2019 16:45,29,4,162,2394,International Master
10,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,47,6,75,2469,Grandmaster
11,"Codeforces Round 596 (Div. 1, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,159,3,-32,2437,Grandmaster
12,Good Bye 2019,Dec/29/2019 17:05,255,5,-6,2431,Grandmaster
13,Hello 2020,Jan/04/2020 15:05,227,5,9,2440,Grandmaster
14,Codeforces Round 641 (Div. 1),May/12/2020 15:35,202,3,11,2451,Grandmaster
15,Codeforces Global Round 9,Jul/04/2020 17:45,147,6,54,2505,Grandmaster
16,Codeforces Global Round 11,Oct/10/2020 17:50,162,5,26,2531,Grandmaster
17,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,243,6,-16,2515,Grandmaster
18,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,101,3,28,2543,Grandmaster
19,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,67,3,43,2586,Grandmaster
20,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,56,3,49,2635,International Grandmaster
21,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,276,2,-86,2549,Grandmaster
22,Good Bye 2020,Dec/30/2020 17:35,336,6,-26,2523,Grandmaster
23,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,56,3,65,2588,Grandmaster
24,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,104,4,13,2601,International Grandmaster
25,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,171,3,-22,2579,Grandmaster
26,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,48,3,69,2648,International Grandmaster
27,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,212,5,-30,2618,International Grandmaster
28,Codeforces Global Round 14,May/02/2021 17:35,53,7,74,2692,International Grandmaster
29,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,101,3,-22,2670,International Grandmaster
30,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,95,6,4,2674,International Grandmaster
31,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,97,6,2,2676,International Grandmaster
32,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,183,4,-33,2643,International Grandmaster
33,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,95,4,12,2655,International Grandmaster
34,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,286,3,-67,2588,Grandmaster
35,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,103,4,2,2590,Grandmaster
36,Codeforces Global Round 18,Dec/24/2021 17:35,196,5,-15,2575,Grandmaster
37,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,321,5,-35,2540,Grandmaster
38,Hello 2022,Jan/03/2022 17:35,95,6,63,2603,International Grandmaster
39,Codeforces Global Round 19,Feb/12/2022 17:35,217,6,-22,2581,Grandmaster
40,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,64,4,63,2644,International Grandmaster
41,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,263,5,-55,2589,Grandmaster
42,Codeforces Global Round 20,Apr/23/2022 17:05,27,8,146,2735,International Grandmaster
43,Codeforces Global Round 21,Jun/25/2022 17:35,100,6,7,2742,International Grandmaster
44,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,153,5,-14,2728,International Grandmaster
45,Hello 2023,Jan/03/2023 17:35,272,5,-63,2665,International Grandmaster
46,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,192,5,-39,2626,International Grandmaster
47,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,129,6,11,2637,International Grandmaster
