#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,7584,1,-101,1399,Pupil
2,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,8622,1,-50,1349,Pupil
3,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,5943,1,-11,1338,Pupil
4,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,9275,1,-35,1303,Pupil
5,Codeforces Round 677 (Div. 3),Oct/20/2020 17:35,137,6,205,1508,Specialist
6,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,1835,3,28,1536,Specialist
7,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,302,4,120,1656,Expert
8,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,59,4,175,1831,Expert
9,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,5653,2,-131,1700,Expert
10,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,933,4,38,1738,Expert
11,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,704,5,95,1833,Expert
12,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,3894,2,-107,1726,Expert
13,Codeforces Global Round 16,Sep/12/2021 17:35,1634,5,19,1745,Expert
14,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,96,4,167,1912,Candidate Master
15,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,432,5,88,2000,Candidate Master
16,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,514,2,-33,1967,Candidate Master
17,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,628,2,16,1983,Candidate Master
18,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,432,2,-4,1979,Candidate Master
19,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,36,5,128,2107,Master
20,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,1592,3,-61,2046,Candidate Master
21,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,322,4,77,2123,Master
22,Codeforces Global Round 19,Feb/12/2022 17:35,398,5,52,2175,Master
23,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,344,3,24,2199,Master
24,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,673,2,-78,2121,Master
25,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,241,5,84,2205,Master
26,Codeforces Round 789 (Div. 1),May/08/2022 17:35,204,4,60,2265,Master
27,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,267,5,36,2301,International Master
28,Codeforces Global Round 21,Jun/25/2022 17:35,679,5,-38,2263,Master
29,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,761,1,-101,2162,Master
30,Dytechlab Cup 2022,Oct/07/2022 17:35,142,5,116,2278,Master
31,Codeforces Global Round 23,Oct/15/2022 17:35,390,4,20,2298,Master
32,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,693,3,-81,2217,Master
33,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,243,6,55,2272,Master
34,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,213,5,83,2355,International Master
35,Hello 2023,Jan/03/2023 17:35,222,6,46,2401,Grandmaster
