#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 686 (Div. 3),Nov/24/2020 17:35,9076,2,406,406,Newbie
2,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,6980,2,296,702,Newbie
3,Codeforces Global Round 12,Dec/06/2020 17:35,5207,2,243,945,Newbie
4,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,4563,3,135,1080,Newbie
5,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,2316,2,200,1280,Pupil
6,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,3298,2,37,1317,Pupil
7,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,2725,2,21,1338,Pupil
8,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,2647,3,58,1396,Pupil
9,Good Bye 2020,Dec/30/2020 17:35,4847,3,13,1409,Specialist
10,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,5967,2,-40,1369,Pupil
11,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,6895,0,-127,1242,Pupil
12,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,4290,3,34,1276,Pupil
13,Codeforces Round 702 (Div. 3),Feb/16/2021 17:35,6203,2,-49,1227,Pupil
14,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,10236,0,-121,1106,Newbie
15,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,2910,2,99,1205,Pupil
16,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,2323,2,110,1315,Pupil
17,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,4516,1,-15,1300,Pupil
18,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,1076,3,124,1424,Specialist
19,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,1320,2,50,1474,Specialist
20,Codeforces Round 710 (Div. 3),Mar/25/2021 17:35,1185,4,25,1499,Specialist
21,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,1484,3,36,1535,Specialist
22,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,3233,2,-34,1501,Specialist
23,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,3515,2,-12,1489,Specialist
24,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,1805,3,46,1535,Specialist
25,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,2592,3,-4,1531,Specialist
26,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,3210,2,-24,1507,Specialist
27,Codeforces Global Round 16,Sep/12/2021 17:35,2063,5,50,1557,Specialist
28,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,3631,3,-44,1513,Specialist
29,Codeforces Round 744 (Div. 3),Sep/28/2021 17:35,3808,3,-54,1459,Specialist
30,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,622,4,107,1566,Specialist
31,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,1041,4,92,1658,Expert
32,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,1135,3,-24,1634,Expert
33,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,3870,2,-68,1566,Specialist
34,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,624,4,69,1635,Expert
35,Codeforces Global Round 17,Nov/23/2021 17:35,2962,2,-41,1594,Specialist
36,Codeforces Round 756 (Div. 3),Nov/25/2021 17:35,338,5,58,1652,Expert
37,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,1133,3,25,1677,Expert
38,Codeforces Global Round 19,Feb/12/2022 17:35,2251,3,2,1679,Expert
39,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,399,4,83,1762,Expert
40,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,337,5,72,1834,Expert
41,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,1350,3,-46,1788,Expert
42,"Codeforces Round 775 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,976,3,-26,1762,Expert
43,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,1235,3,-17,1745,Expert
44,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,618,4,40,1785,Expert
45,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,1007,3,-5,1780,Expert
46,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,235,4,80,1860,Expert
47,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,750,3,-8,1852,Expert
48,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,1884,3,-70,1782,Expert
49,Codeforces Round 789 (Div. 2),May/08/2022 17:35,792,3,-7,1775,Expert
50,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,1307,4,19,1794,Expert
51,Codeforces Round 793 (Div. 2),May/22/2022 17:35,96,4,134,1928,Candidate Master
52,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,2029,3,-81,1847,Expert
53,Codeforces Round 794 (Div. 2),May/25/2022 20:35,30,4,135,1982,Candidate Master
54,CodeCraft-22 and Codeforces Round 795 (Div. 2),May/31/2022 17:35,261,4,24,2006,Candidate Master
55,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,620,2,-54,1952,Candidate Master
56,Codeforces Global Round 21,Jun/25/2022 17:35,2043,3,-61,1891,Expert
57,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,216,4,64,1955,Candidate Master
58,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,993,4,-42,1913,Candidate Master
59,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,325,2,108,2021,Candidate Master
60,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,933,4,-47,1974,Candidate Master
61,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,2461,2,-100,1874,Expert
62,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,2758,3,-71,1803,Expert
63,Codeforces Round 814 (Div. 2),Aug/16/2022 17:35,328,4,47,1850,Expert
64,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,529,4,21,1871,Expert
