#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,358,3,630,630,Newbie
2,"Codeforces Round 755 (Div. 2, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,628,3,393,1023,Newbie
3,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,563,3,339,1362,Pupil
4,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,2330,2,108,1470,Specialist
5,Codeforces Round 783 (Div. 2),Apr/19/2022 17:35,364,3,180,1650,Expert
6,Codeforces Round 791 (Div. 2),May/14/2022 12:35,669,3,85,1735,Expert
7,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,9,5,249,1984,Candidate Master
8,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,984,3,-46,1938,Candidate Master
9,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,580,4,-10,1928,Candidate Master
10,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,7,6,234,2162,Master
