#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 4,Jul/20/2019 18:35,5130,0,-134,1366,Pupil
2,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,5874,1,-79,1287,Pupil
3,Codeforces Round 582 (Div. 3),Aug/30/2019 17:35,5878,1,-71,1216,Pupil
4,Codeforces Round 588 (Div. 2),Sep/23/2019 17:05,5712,1,-68,1148,Newbie
5,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,4689,1,1,1149,Newbie
6,Codeforces Round 624 (Div. 3),Feb/24/2020 17:35,4236,2,7,1156,Newbie
7,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,4739,2,33,1189,Newbie
8,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,1384,3,159,1348,Pupil
9,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,3605,3,14,1362,Pupil
10,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,1755,4,41,1403,Specialist
11,Codeforces Global Round 7,Mar/19/2020 17:35,4750,3,15,1418,Specialist
12,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,1170,4,138,1556,Specialist
13,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,1506,3,28,1584,Specialist
14,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,4347,2,-15,1569,Specialist
15,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,979,3,83,1652,Expert
16,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,5058,2,-47,1605,Expert
17,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,3496,3,3,1608,Expert
18,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,4398,3,-42,1566,Specialist
19,Codeforces Round 634 (Div. 3),Apr/13/2020 17:35,1119,5,43,1609,Expert
20,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,6430,2,-61,1548,Specialist
21,Codeforces Round 636 (Div. 3),Apr/21/2020 17:35,1150,3,47,1595,Specialist
22,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,3908,3,-8,1587,Specialist
23,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,4204,2,-7,1580,Specialist
24,Codeforces Round 638 (Div. 2),May/01/2020 17:35,1978,3,57,1637,Expert
25,Codeforces Round 641 (Div. 2),May/12/2020 15:35,751,3,74,1711,Expert
26,Codeforces Round 643 (Div. 2),May/16/2020 14:35,3379,3,-28,1683,Expert
27,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,2415,3,-11,1672,Expert
28,Codeforces Round 645 (Div. 2),May/26/2020 17:35,2990,3,-10,1662,Expert
29,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,318,5,144,1806,Expert
30,Codeforces Round 646 (Div. 2),May/31/2020 17:35,1868,3,-2,1804,Expert
31,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,2692,3,-51,1753,Expert
32,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,7689,1,-114,1639,Expert
33,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,4004,2,-38,1601,Expert
34,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,762,3,109,1710,Expert
35,Codeforces Global Round 8,Jun/18/2020 17:45,5494,2,-72,1638,Expert
36,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,788,4,92,1730,Expert
37,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,3553,3,-51,1679,Expert
38,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,505,4,99,1778,Expert
39,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,3465,3,-61,1717,Expert
40,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,1022,2,56,1773,Expert
41,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,764,4,32,1805,Expert
42,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,1295,2,4,1809,Expert
43,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,1806,3,-10,1799,Expert
44,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,988,3,28,1827,Expert
45,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,1741,3,-19,1808,Expert
46,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,648,4,46,1854,Expert
