#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Hello 2020,Jan/04/2020 15:05,1598,3,94,1594,Specialist
2,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,267,3,114,1708,Expert
3,Codeforces Round 613 (Div. 2),Jan/10/2020 17:05,41,5,210,1918,Candidate Master
4,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,1172,3,-48,1870,Expert
5,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,16,4,180,2050,Candidate Master
6,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,1400,4,-73,1977,Candidate Master
7,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,258,5,66,2043,Candidate Master
8,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,976,2,-35,2008,Candidate Master
9,Codeforces Round 643 (Div. 2),May/16/2020 14:35,335,5,42,2050,Candidate Master
10,Codeforces Global Round 8,Jun/18/2020 17:45,150,5,151,2201,Master
11,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,51,3,176,2377,International Master
12,Codeforces Global Round 10,Aug/16/2020 17:35,820,5,-70,2307,International Master
13,Grakn Forces 2020,Sep/30/2020 17:35,655,4,-34,2273,Master
14,Good Bye 2020,Dec/30/2020 17:35,410,6,29,2302,International Master
15,Codeforces Global Round 13,Feb/28/2021 16:35,657,4,-21,2281,Master
16,Codeforces Global Round 14,May/02/2021 17:35,486,5,-1,2280,Master
17,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,375,5,26,2306,International Master
18,Hello 2022,Jan/03/2022 17:35,1540,3,-107,2199,Master
19,Codeforces Global Round 21,Jun/25/2022 17:35,978,4,-46,2153,Master
20,Hello 2023,Jan/03/2023 17:35,1121,4,-39,2114,Master
