#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,2824,3,50,1550,Specialist
2,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,2059,3,32,1582,Specialist
3,Codeforces Round 638 (Div. 2),May/01/2020 17:35,1611,3,72,1654,Expert
4,Codeforces Round 643 (Div. 2),May/16/2020 14:35,7547,1,-91,1563,Specialist
5,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,2024,3,43,1606,Expert
6,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,6201,2,-75,1531,Specialist
7,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,2533,3,20,1551,Specialist
8,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,3567,2,-23,1528,Specialist
9,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,1805,2,18,1546,Specialist
10,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,104,5,177,1723,Expert
11,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,306,5,112,1835,Expert
12,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,158,5,111,1946,Candidate Master
13,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,1716,4,-54,1892,Expert
14,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,39,5,131,2023,Candidate Master
15,Codeforces Round 722 (Div. 1),May/24/2021 17:35,619,2,-6,2017,Candidate Master
16,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,2330,2,-88,1929,Candidate Master
17,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,289,2,126,2055,Candidate Master
18,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,165,4,50,2105,Master
19,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,563,2,-71,2034,Candidate Master
20,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,523,3,-17,2017,Candidate Master
21,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,240,3,124,2141,Master
22,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,133,7,123,2264,Master
