#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,311,4,128,1628,Expert
2,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,5082,2,-57,1571,Specialist
3,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,1527,3,74,1645,Expert
4,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,2534,3,18,1663,Expert
5,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,2349,3,-8,1655,Expert
6,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,2039,3,15,1670,Expert
7,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,2253,3,11,1681,Expert
8,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,4274,2,-31,1650,Expert
9,Codeforces Round 638 (Div. 2),May/01/2020 17:35,3331,3,-3,1647,Expert
10,Codeforces Round 645 (Div. 2),May/26/2020 17:35,2753,3,3,1650,Expert
11,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,4010,2,-33,1617,Expert
12,Codeforces Round 646 (Div. 2),May/31/2020 17:35,468,4,145,1762,Expert
13,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,254,4,97,1859,Expert
14,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,496,6,64,1923,Candidate Master
15,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,452,3,48,1971,Candidate Master
16,Codeforces Global Round 8,Jun/18/2020 17:45,2180,4,-38,1933,Candidate Master
17,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,80,5,131,2064,Candidate Master
18,Codeforces Global Round 9,Jul/04/2020 17:45,5591,2,-151,1913,Candidate Master
19,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,823,3,17,1930,Candidate Master
20,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,627,4,27,1957,Candidate Master
21,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,53,4,143,2100,Master
22,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,513,1,14,2114,Master
23,Codeforces Global Round 10,Aug/16/2020 17:35,1012,5,-24,2090,Candidate Master
24,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,861,4,-43,2047,Candidate Master
25,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,359,4,17,2064,Candidate Master
26,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,896,2,-53,2011,Candidate Master
27,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,104,4,97,2108,Master
28,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,343,3,41,2149,Master
29,Codeforces Global Round 11,Oct/10/2020 17:50,316,4,71,2220,Master
30,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,666,2,-73,2147,Master
31,Codeforces Global Round 12,Dec/06/2020 17:35,1124,3,-48,2099,Candidate Master
32,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,691,1,-71,2028,Candidate Master
33,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,7,6,207,2235,Master
34,Good Bye 2020,Dec/30/2020 17:35,1176,5,-47,2188,Master
35,Codeforces Global Round 13,Feb/28/2021 16:35,1063,4,-35,2153,Master
36,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,472,2,-8,2145,Master
37,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,200,3,89,2234,Master
38,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,301,2,13,2247,Master
39,Codeforces Global Round 14,May/02/2021 17:35,942,4,-47,2200,Master
40,Codeforces Round 722 (Div. 1),May/24/2021 17:35,384,3,9,2209,Master
41,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,1697,3,-121,2088,Candidate Master
42,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,61,6,90,2178,Master
43,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,693,1,-58,2120,Master
44,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,4815,2,-182,1938,Candidate Master
45,Codeforces Global Round 15,Jul/25/2021 17:35,432,5,97,2035,Candidate Master
46,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,266,4,24,2059,Candidate Master
47,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,126,5,56,2115,Master
48,Codeforces Global Round 16,Sep/12/2021 17:35,536,6,30,2145,Master
49,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,432,4,29,2174,Master
50,Codeforces Global Round 18,Dec/24/2021 17:35,314,4,53,2227,Master
51,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,442,5,26,2253,Master
52,Hello 2022,Jan/03/2022 17:35,172,5,93,2346,International Master
53,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,87,5,107,2453,Grandmaster
54,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,324,3,-45,2408,Grandmaster
55,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,232,2,-14,2394,International Master
56,Codeforces Global Round 21,Jun/25/2022 17:35,508,5,-35,2359,International Master
57,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,81,3,96,2455,Grandmaster
58,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,183,5,26,2481,Grandmaster
59,Codeforces Global Round 22,Sep/30/2022 17:35,199,6,8,2489,Grandmaster
60,Dytechlab Cup 2022,Oct/07/2022 17:35,1114,3,-144,2345,International Master
61,Codeforces Global Round 23,Oct/15/2022 17:35,355,4,10,2355,International Master
62,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,243,5,13,2368,International Master
63,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,177,6,40,2408,Grandmaster
64,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,424,5,-46,2362,International Master
