#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,1554,3,12,1512,Specialist
2,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,284,4,156,1668,Expert
3,Codeforces Round 773 (Div. 2),Feb/23/2022 13:10,314,4,75,1743,Expert
4,"Codeforces Round 775 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,360,3,45,1788,Expert
5,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,396,4,52,1840,Expert
6,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,82,4,129,1969,Candidate Master
7,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,459,2,17,1986,Candidate Master
8,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,1900,3,-88,1898,Expert
9,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,176,5,71,1969,Candidate Master
10,Codeforces Global Round 22,Sep/30/2022 17:35,583,4,55,2024,Candidate Master
11,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,183,4,30,2054,Candidate Master
12,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,55,5,84,2138,Master
13,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,1114,4,-59,2079,Candidate Master
14,Codeforces Round 840 (Div. 2) and Enigma 2022 - Cybros LNMIIT,Dec/19/2022 17:35,75,4,64,2143,Master
15,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,459,4,56,2199,Master
16,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,1070,4,-71,2128,Master
