#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 45 (Rated for Div. 2),Jun/10/2018 13:05,2693,2,-56,1444,Specialist
2,Codeforces Round 487 (Div. 2),Jun/11/2018 16:35,238,3,183,1627,Expert
3,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,1228,3,-16,1611,Expert
4,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,630,3,104,1715,Expert
5,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,238,5,92,1807,Expert
6,Codeforces Round 510 (Div. 2),Sep/17/2018 11:05,114,4,91,1898,Expert
7,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,140,3,42,1940,Candidate Master
8,"Codeforces Round 512 (Div. 1, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,210,2,46,1986,Candidate Master
9,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,187,5,76,2062,Candidate Master
10,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,123,4,33,2095,Candidate Master
11,"Codeforces Round 516 (Div. 1, by Moscow Team Olympiad)",Oct/14/2018 13:05,167,3,31,2126,Master
12,"Codeforces Round 517 (Div. 1, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,305,1,-47,2079,Candidate Master
13,Educational Codeforces Round 53 (Rated for Div. 2),Oct/25/2018 17:35,294,4,-21,2058,Candidate Master
14,Codeforces Round 519 by Botan Investments,Oct/28/2018 18:35,320,5,37,2095,Candidate Master
15,Educational Codeforces Round 56 (Rated for Div. 2),Dec/15/2018 17:35,222,4,-19,2076,Candidate Master
16,Avito Cool Challenge 2018,Dec/16/2018 17:35,457,4,-18,2058,Candidate Master
17,"Codeforces Round 528 (Div. 1, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,279,2,-1,2057,Candidate Master
18,Good Bye 2018,Dec/30/2018 17:35,729,4,7,2064,Candidate Master
19,Codeforces Round 532 (Div. 2),Jan/13/2019 17:35,75,4,60,2124,Master
20,Codeforces Global Round 1,Feb/07/2019 16:35,521,4,7,2131,Master
21,Codeforces Round 562 (Div. 1),May/26/2019 18:35,171,3,30,2161,Master
22,Codeforces Global Round 3,Jun/01/2019 17:35,220,5,48,2209,Master
23,Codeforces Round 564 (Div. 1),Jun/07/2019 15:05,102,3,65,2274,Master
24,Codeforces Round 569 (Div. 1),Jun/21/2019 20:05,81,3,57,2331,International Master
25,Codeforces Round 572 (Div. 1),Jul/05/2019 18:05,28,4,131,2462,Grandmaster
26,Codeforces Global Round 4,Jul/20/2019 18:35,73,7,45,2507,Grandmaster
27,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,99,5,15,2522,Grandmaster
28,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,233,4,-63,2459,Grandmaster
29,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,186,7,-7,2452,Grandmaster
30,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,223,5,-38,2414,Grandmaster
31,Codeforces Round 588 (Div. 1),Sep/23/2019 17:05,43,4,91,2505,Grandmaster
32,Codeforces Global Round 5,Oct/16/2019 17:35,244,4,-26,2479,Grandmaster
33,Codeforces Round 594 (Div. 1),Oct/20/2019 12:05,91,3,6,2485,Grandmaster
34,"Codeforces Round 596 (Div. 1, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,36,3,69,2554,Grandmaster
35,Codeforces Round 599 (Div. 1),Nov/06/2019 18:05,103,3,1,2555,Grandmaster
36,"Codeforces Round 602 (Div. 1, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,63,6,10,2565,Grandmaster
37,Codeforces Round 604 (Div. 1),Dec/05/2019 17:35,69,3,16,2581,Grandmaster
38,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,216,3,-76,2505,Grandmaster
39,Good Bye 2019,Dec/29/2019 17:05,163,5,8,2513,Grandmaster
40,Hello 2020,Jan/04/2020 15:05,102,5,43,2556,Grandmaster
41,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,372,2,-95,2461,Grandmaster
