#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 587 (Div. 3),Sep/21/2019 10:05,2223,3,-52,1448,Specialist
2,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,8159,2,-69,1379,Pupil
3,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,1229,4,129,1508,Specialist
4,Codeforces Round 653 (Div. 3),Jun/28/2020 17:35,710,5,60,1568,Specialist
5,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,3453,3,-10,1558,Specialist
6,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,2343,3,-25,1533,Specialist
7,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,1862,3,64,1597,Specialist
8,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,956,3,56,1653,Expert
9,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,93,4,187,1840,Expert
10,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,1865,2,-89,1751,Expert
11,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,1353,3,-41,1710,Expert
12,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,370,3,92,1802,Expert
13,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,10,5,222,2024,Candidate Master
14,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,738,2,-19,2005,Candidate Master
15,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,535,3,16,2021,Candidate Master
16,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,114,5,68,2089,Candidate Master
17,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,776,5,3,2092,Candidate Master
18,Codeforces Global Round 16,Sep/12/2021 17:35,2914,4,-130,1962,Candidate Master
19,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,542,3,-6,1956,Candidate Master
20,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,232,3,97,2053,Candidate Master
21,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,614,3,-30,2023,Candidate Master
22,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,534,2,26,2049,Candidate Master
23,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,263,4,10,2059,Candidate Master
24,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,465,2,-35,2024,Candidate Master
25,Codeforces Global Round 18,Dec/24/2021 17:35,619,4,32,2056,Candidate Master
26,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,233,4,17,2073,Candidate Master
27,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,34,4,106,2179,Master
28,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,501,5,28,2207,Master
29,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,445,3,-7,2200,Master
30,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,337,5,50,2250,Master
31,Codeforces Global Round 20,Apr/23/2022 17:05,639,5,-27,2223,Master
32,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,246,2,27,2250,Master
33,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,547,5,-6,2244,Master
34,Codeforces Global Round 22,Sep/30/2022 17:35,509,4,-5,2239,Master
35,Dytechlab Cup 2022,Oct/07/2022 17:35,182,5,74,2313,International Master
36,Codeforces Global Round 23,Oct/15/2022 17:35,289,5,37,2350,International Master
37,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,149,5,55,2405,Grandmaster
38,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,173,6,46,2451,Grandmaster
39,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,179,4,19,2470,Grandmaster
40,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,401,5,-56,2414,Grandmaster
