#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 603 (Div. 2),Nov/29/2019 17:35,2214,3,-7,1493,Specialist
2,Codeforces Round 605 (Div. 3),Dec/12/2019 16:35,3393,2,-69,1424,Specialist
3,Codeforces Round 607 (Div. 2),Dec/15/2019 08:05,1882,1,-32,1392,Pupil
4,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,2713,2,-13,1379,Pupil
5,Codeforces Global Round 6,Dec/17/2019 18:05,1200,3,127,1506,Specialist
6,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,1497,2,34,1540,Specialist
7,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,3816,1,-85,1455,Specialist
8,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,1354,3,54,1509,Specialist
9,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,1386,3,46,1555,Specialist
10,Codeforces Round 611 (Div. 3),Dec/28/2019 20:05,1981,2,-46,1509,Specialist
11,Hello 2020,Jan/04/2020 15:05,1874,3,74,1583,Specialist
12,Codeforces Round 612 (Div. 2),Jan/05/2020 17:05,820,3,48,1631,Expert
13,Codeforces Round 613 (Div. 2),Jan/10/2020 17:05,1680,3,1,1632,Expert
14,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,755,3,55,1687,Expert
15,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,666,3,38,1725,Expert
16,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,613,4,59,1784,Expert
17,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,1362,3,-23,1761,Expert
18,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,587,4,58,1819,Expert
19,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,1167,3,17,1836,Expert
20,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,675,3,16,1852,Expert
21,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,1081,3,-44,1808,Expert
