#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 560 (Div. 3),May/14/2019 17:35,168,5,105,1605,Expert
2,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,964,4,25,1630,Expert
3,Codeforces Round 563 (Div. 2),Jun/03/2019 17:05,8,6,305,1935,Candidate Master
4,Educational Codeforces Round 66 (Rated for Div. 2),Jun/05/2019 17:35,113,4,78,2013,Candidate Master
5,Codeforces Round 566 (Div. 2),Jun/11/2019 16:05,99,4,61,2074,Candidate Master
6,Codeforces Round 568 (Div. 2),Jun/19/2019 17:45,16,8,128,2202,Master
7,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,161,5,62,2264,Master
8,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,112,7,79,2343,International Master
9,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,1204,3,-137,2206,Master
10,Codeforces Global Round 5,Oct/16/2019 17:35,259,5,45,2251,Master
11,Codeforces Round 599 (Div. 1),Nov/06/2019 18:05,195,3,28,2279,Master
12,Codeforces Round 601 (Div. 1),Nov/19/2019 17:35,109,4,57,2336,International Master
13,"Codeforces Round 602 (Div. 1, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,152,5,-6,2330,International Master
14,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,100,3,48,2378,International Master
15,Codeforces Round 607 (Div. 1),Dec/15/2019 08:05,95,3,3,2381,International Master
16,Codeforces Global Round 6,Dec/17/2019 18:05,211,5,7,2388,International Master
17,Codeforces Round 609 (Div. 1),Dec/21/2019 14:05,37,3,103,2491,Grandmaster
18,Good Bye 2019,Dec/29/2019 17:05,200,5,-3,2488,Grandmaster
19,Hello 2020,Jan/04/2020 15:05,434,4,-52,2436,Grandmaster
20,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,106,3,38,2474,Grandmaster
21,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,76,5,58,2532,Grandmaster
22,"Codeforces Round 623 (Div. 1, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,241,1,-89,2443,Grandmaster
23,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,409,5,-40,2403,Grandmaster
24,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,304,2,-46,2357,International Master
25,Codeforces Global Round 7,Mar/19/2020 17:35,369,5,1,2358,International Master
26,Codeforces Global Round 9,Jul/04/2020 17:45,2167,3,-117,2241,Master
27,Grakn Forces 2020,Sep/30/2020 17:35,306,5,42,2283,Master
28,Codeforces Global Round 11,Oct/10/2020 17:50,473,4,3,2286,Master
29,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,748,4,-39,2247,Master
30,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,196,3,47,2294,Master
31,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,300,3,-2,2292,Master
32,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,350,2,-14,2278,Master
33,Good Bye 2020,Dec/30/2020 17:35,1095,5,-51,2227,Master
34,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,553,2,-40,2187,Master
35,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,545,2,-12,2175,Master
36,Codeforces Round 722 (Div. 1),May/24/2021 17:35,304,3,40,2215,Master
37,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,263,4,65,2280,Master
38,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,197,5,56,2336,International Master
39,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,175,2,23,2359,International Master
40,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,706,5,-63,2296,Master
41,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,365,5,3,2299,Master
42,Codeforces Global Round 15,Jul/25/2021 17:35,204,6,61,2360,International Master
43,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,947,1,-118,2242,Master
44,Codeforces Global Round 18,Dec/24/2021 17:35,203,5,71,2313,International Master
45,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,348,5,24,2337,International Master
46,Hello 2022,Jan/03/2022 17:35,179,5,66,2403,Grandmaster
47,Codeforces Global Round 19,Feb/12/2022 17:35,89,6,97,2500,Grandmaster
48,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,588,4,-86,2414,Grandmaster
49,Dytechlab Cup 2022,Oct/07/2022 17:35,143,5,48,2462,Grandmaster
50,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,436,5,-44,2418,Grandmaster
