#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,3737,2,488,488,Newbie
2,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,646,4,484,972,Newbie
3,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,1946,3,255,1227,Pupil
4,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,793,4,222,1449,Specialist
5,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,909,3,153,1602,Expert
6,Codeforces Global Round 21,Jun/25/2022 17:35,644,5,185,1787,Expert
7,Codeforces Round 814 (Div. 2),Aug/16/2022 17:35,55,5,144,1931,Candidate Master
8,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,53,5,135,2066,Candidate Master
9,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,187,4,27,2093,Candidate Master
10,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,229,5,3,2096,Candidate Master
11,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,339,3,-19,2077,Candidate Master
12,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,19,5,133,2210,Master
13,Codeforces Global Round 22,Sep/30/2022 17:35,360,5,33,2243,Master
14,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,275,5,37,2280,Master
15,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,185,5,54,2334,International Master
16,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,217,6,33,2367,International Master
