#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 614 (Div. 2),Jan/19/2020 16:35,2176,3,7,1507,Specialist
2,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,1681,2,-5,1502,Specialist
3,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,475,4,100,1602,Expert
4,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,50,5,256,1858,Expert
5,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,343,2,17,1875,Expert
6,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,1102,4,-48,1827,Expert
7,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,818,4,48,1875,Expert
8,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,95,6,110,1985,Candidate Master
9,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,188,3,110,2095,Candidate Master
10,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,153,4,104,2199,Master
11,Codeforces Global Round 19,Feb/12/2022 17:35,813,5,-29,2170,Master
12,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,90,3,141,2311,International Master
13,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,495,4,-45,2266,Master
