#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 436 (Div. 2),Sep/25/2017 13:35,2266,2,-70,1430,Specialist
2,Codeforces Round 438 by Sberbank and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Oct/05/2017 10:05,428,3,141,1571,Specialist
3,Codeforces Round 439 (Div. 2),Oct/06/2017 16:35,299,3,87,1658,Expert
4,"Codeforces Round 440 (Div. 2, based on Technocup 2018 Elimination Round 2)",Oct/15/2017 11:05,1361,2,-61,1597,Specialist
5,Educational Codeforces Round 36 (Rated for Div. 2),Jan/13/2018 16:05,1696,2,-45,1552,Specialist
6,Codeforces Round 462 (Div. 2),Feb/14/2018 15:05,68,4,187,1739,Expert
7,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,1428,3,-28,1711,Expert
8,Educational Codeforces Round 38 (Rated for Div. 2),Feb/16/2018 18:05,122,4,93,1804,Expert
9,Codeforces Round 464 (Div. 2),Feb/17/2018 13:05,108,5,68,1872,Expert
10,Educational Codeforces Round 45 (Rated for Div. 2),Jun/10/2018 13:05,169,5,59,1931,Candidate Master
11,Codeforces Round 487 (Div. 2),Jun/11/2018 16:35,643,2,-29,1902,Candidate Master
12,Codeforces Round 500 (Div. 1) [based on EJOI],Jul/30/2018 11:15,139,3,111,2013,Candidate Master
13,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,81,4,141,2154,Master
14,"Codeforces Round 516 (Div. 1, by Moscow Team Olympiad)",Oct/14/2018 13:05,210,3,-8,2146,Master
15,"Codeforces Round 517 (Div. 1, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,392,1,-85,2061,Candidate Master
16,Codeforces Global Round 1,Feb/07/2019 16:35,178,5,106,2167,Master
17,Codeforces Round 545 (Div. 1),Mar/08/2019 12:05,132,3,40,2207,Master
18,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,220,5,98,2305,International Master
19,Hello 2023,Jan/03/2023 17:35,2716,3,-157,2148,Master
20,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,132,6,138,2286,Master
21,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,549,5,-39,2247,Master
