#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,8964,2,445,445,Newbie
2,Codeforces Round 656 (Div. 3),Jul/17/2020 17:35,1059,4,442,887,Newbie
3,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,10377,1,151,1038,Newbie
4,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,5239,1,154,1192,Newbie
5,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,6461,1,83,1275,Pupil
6,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,5820,2,49,1324,Pupil
7,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,4492,3,-3,1321,Pupil
8,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,3493,2,55,1376,Pupil
9,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,5093,2,-8,1368,Pupil
10,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,732,3,161,1529,Specialist
11,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,9256,2,-107,1422,Specialist
12,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,7850,2,-69,1353,Pupil
13,Codeforces Round 667 (Div. 3),Sep/04/2020 17:35,602,4,119,1472,Specialist
14,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,6420,1,-74,1398,Pupil
15,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,2124,4,61,1459,Specialist
16,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,8050,1,-120,1339,Pupil
17,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,120,4,286,1625,Expert
18,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,2299,3,-8,1617,Expert
19,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,2324,2,-63,1554,Specialist
20,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,613,4,99,1653,Expert
21,Good Bye 2020,Dec/30/2020 17:35,5419,3,-65,1588,Specialist
22,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,1094,2,71,1659,Expert
23,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,13561,0,-174,1485,Specialist
24,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,1205,4,93,1578,Specialist
25,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,2395,3,5,1583,Specialist
26,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,95,4,194,1777,Expert
27,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,593,4,59,1836,Expert
28,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,2901,1,-113,1723,Expert
29,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,2373,2,-57,1666,Expert
30,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,2534,2,-44,1622,Expert
31,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,370,3,122,1744,Expert
32,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,2828,3,-38,1706,Expert
33,Codeforces Global Round 14,May/02/2021 17:35,1509,4,44,1750,Expert
34,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,267,5,112,1862,Expert
35,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,701,4,0,1862,Expert
36,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,4366,2,-113,1749,Expert
37,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,172,5,128,1877,Expert
38,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,217,4,56,1933,Candidate Master
39,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,726,2,-20,1913,Candidate Master
40,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,1880,3,-41,1872,Expert
41,Codeforces Global Round 16,Sep/12/2021 17:35,675,6,73,1945,Candidate Master
42,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,208,4,60,2005,Candidate Master
43,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,2529,2,-117,1888,Expert
44,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,2090,2,-84,1804,Expert
