#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 560 (Div. 3),May/14/2019 17:35,132,5,117,1617,Expert
2,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,4770,0,-147,1470,Specialist
3,Codeforces Round 565 (Div. 3),Jun/09/2019 17:35,1746,3,-23,1447,Specialist
4,Codeforces Round 575 (Div. 3),Jul/24/2019 17:35,6962,1,-126,1321,Pupil
5,Codeforces Round 582 (Div. 3),Aug/30/2019 17:35,14,8,311,1632,Expert
6,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,551,4,130,1762,Expert
7,Codeforces Round 638 (Div. 2),May/01/2020 17:35,125,4,170,1932,Candidate Master
8,Codeforces Round 643 (Div. 2),May/16/2020 14:35,679,4,24,1956,Candidate Master
9,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,1273,3,-23,1933,Candidate Master
10,Codeforces Round 646 (Div. 2),May/31/2020 17:35,514,4,45,1978,Candidate Master
11,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,1114,0,-97,1881,Expert
12,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,529,5,53,1934,Candidate Master
13,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,214,5,81,2015,Candidate Master
14,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,527,3,14,2029,Candidate Master
15,Codeforces Global Round 8,Jun/18/2020 17:45,12100,0,-235,1794,Expert
16,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,197,5,126,1920,Candidate Master
17,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,219,4,78,1998,Candidate Master
18,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,273,5,43,2041,Candidate Master
19,Codeforces Global Round 9,Jul/04/2020 17:45,8574,0,-218,1823,Expert
20,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,367,3,94,1917,Candidate Master
21,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,383,4,59,1976,Candidate Master
22,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,241,4,60,2036,Candidate Master
23,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,5118,2,-142,1894,Expert
24,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,167,4,99,1993,Candidate Master
25,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,897,0,-93,1900,Candidate Master
26,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,24,5,195,2095,Candidate Master
27,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,855,4,-44,2051,Candidate Master
28,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,112,5,74,2125,Master
29,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,1216,0,-102,2023,Candidate Master
30,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,1150,0,-101,1922,Candidate Master
31,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,990,3,-5,1917,Candidate Master
32,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,77,4,134,2051,Candidate Master
33,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,6591,5,-181,1870,Expert
34,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,5590,2,-129,1741,Expert
35,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,8422,0,-186,1555,Specialist
36,Codeforces Round 674 (Div. 3),Sep/28/2020 11:05,76,6,140,1695,Expert
37,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,7068,0,-183,1512,Specialist
38,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,9360,0,-162,1350,Pupil
39,Codeforces Round 677 (Div. 3),Oct/20/2020 17:35,6963,3,-73,1277,Pupil
40,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,199,5,235,1512,Specialist
41,Codeforces Round 686 (Div. 3),Nov/24/2020 17:35,12931,1,-150,1362,Pupil
42,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,126,7,182,1544,Specialist
43,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,1247,4,64,1608,Expert
44,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,36,5,259,1867,Expert
45,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,13,5,229,2096,Candidate Master
46,CodeCraft-22 and Codeforces Round 795 (Div. 2),May/31/2022 17:35,6,6,171,2267,Master
47,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,460,5,-9,2258,Master
48,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,443,5,6,2264,Master
