#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 564 (Div. 2),Jun/07/2019 15:05,2293,2,-29,1471,Specialist
2,Educational Codeforces Round 69 (Rated for Div. 2),Jul/22/2019 17:35,1714,3,33,1504,Specialist
3,Codeforces Round 575 (Div. 3),Jul/24/2019 17:35,323,5,86,1590,Specialist
4,Codeforces Round 576 (Div. 2),Jul/30/2019 17:35,1300,3,13,1603,Expert
5,Educational Codeforces Round 70 (Rated for Div. 2),Aug/07/2019 17:35,1670,1,-22,1581,Specialist
6,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,2400,3,-14,1567,Specialist
7,Codeforces Round 579 (Div. 3),Aug/13/2019 17:35,2996,2,-60,1507,Specialist
8,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,577,3,86,1593,Specialist
9,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,3919,2,-59,1534,Specialist
10,Codeforces Round 617 (Div. 3),Feb/04/2020 17:35,1077,4,31,1565,Specialist
11,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,1961,3,21,1586,Specialist
12,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,1746,2,7,1593,Specialist
13,Codeforces Round 644 (Div. 3),May/24/2020 16:35,443,6,69,1662,Expert
14,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,868,3,84,1746,Expert
15,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,1311,3,16,1762,Expert
16,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,363,5,90,1852,Expert
17,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,436,3,57,1909,Candidate Master
18,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,2231,3,-69,1840,Expert
19,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,282,4,75,1915,Candidate Master
20,Codeforces Global Round 14,May/02/2021 17:35,2193,4,-48,1867,Expert
21,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,856,4,-2,1865,Expert
22,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,391,4,25,1890,Expert
23,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,477,4,37,1927,Candidate Master
24,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,574,4,-17,1910,Candidate Master
25,Codeforces Round 791 (Div. 2),May/14/2022 12:35,661,3,-18,1892,Expert
26,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,96,5,81,1973,Candidate Master
27,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,47,4,114,2087,Candidate Master
28,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,483,4,12,2099,Candidate Master
29,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,160,5,16,2115,Master
30,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,383,5,47,2162,Master
