#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Hello 2020,Jan/04/2020 15:05,1922,3,74,1574,Specialist
2,Codeforces Round 615 (Div. 3),Jan/22/2020 17:35,689,4,46,1620,Expert
3,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,117,5,189,1809,Expert
4,Codeforces Round 616 (Div. 2),Feb/02/2020 17:05,221,4,72,1881,Expert
5,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,418,4,18,1899,Expert
6,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,1204,3,-24,1875,Expert
7,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,267,5,69,1944,Candidate Master
8,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,608,1,-36,1908,Candidate Master
9,Codeforces Round 638 (Div. 2),May/01/2020 17:35,252,4,88,1996,Candidate Master
10,Codeforces Round 641 (Div. 1),May/12/2020 15:35,1214,0,-91,1905,Candidate Master
11,Codeforces Round 643 (Div. 2),May/16/2020 14:35,32,5,189,2094,Candidate Master
12,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,74,6,80,2174,Master
13,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,348,3,39,2213,Master
14,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,151,6,110,2323,International Master
15,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,173,3,15,2338,International Master
16,Hello 2022,Jan/03/2022 17:35,105,6,109,2447,Grandmaster
17,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,311,3,-39,2408,Grandmaster
18,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,272,3,-13,2395,International Master
19,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,633,4,-68,2327,International Master
20,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,207,4,39,2366,International Master
