#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,5663,2,-75,1425,Specialist
2,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,5129,1,-50,1375,Pupil
3,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,5869,2,-55,1320,Pupil
4,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,3621,1,-12,1308,Pupil
5,"Codeforces Round 623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,1448,3,40,1348,Pupil
6,Codeforces Round 624 (Div. 3),Feb/24/2020 17:35,3137,3,-14,1334,Pupil
7,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,1954,2,38,1372,Pupil
8,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,2635,3,58,1430,Specialist
9,Codeforces Global Round 7,Mar/19/2020 17:35,4850,3,4,1434,Specialist
10,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,4133,2,26,1460,Specialist
11,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,579,4,109,1569,Specialist
12,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,2638,3,32,1601,Expert
13,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,1116,3,64,1665,Expert
14,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,7788,2,-92,1573,Specialist
15,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,2726,3,32,1605,Expert
16,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,755,4,82,1687,Expert
17,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,6177,2,-74,1613,Expert
18,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,1940,3,37,1650,Expert
19,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,3093,3,4,1654,Expert
20,Codeforces Round 638 (Div. 2),May/01/2020 17:35,229,4,173,1827,Expert
21,Codeforces Round 641 (Div. 2),May/12/2020 15:35,4517,2,-89,1738,Expert
22,Codeforces Round 643 (Div. 2),May/16/2020 14:35,1895,3,9,1747,Expert
23,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,671,4,61,1808,Expert
24,Codeforces Round 645 (Div. 2),May/26/2020 17:35,2339,3,-26,1782,Expert
25,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,1839,3,-5,1777,Expert
26,Codeforces Round 646 (Div. 2),May/31/2020 17:35,2891,2,-25,1752,Expert
27,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,1256,4,11,1763,Expert
28,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,603,5,80,1843,Expert
29,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,1376,3,-5,1838,Expert
30,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,470,3,70,1908,Candidate Master
31,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,11,6,225,2133,Master
32,Codeforces Global Round 9,Jul/04/2020 17:45,461,4,60,2193,Master
33,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,786,1,-59,2134,Master
34,Codeforces Global Round 10,Aug/16/2020 17:35,2767,3,-121,2013,Candidate Master
35,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,333,5,29,2042,Candidate Master
36,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,406,3,65,2107,Master
37,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,801,2,-46,2061,Candidate Master
38,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,272,4,35,2096,Candidate Master
39,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,296,4,14,2110,Master
40,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,571,2,-16,2094,Candidate Master
41,Grakn Forces 2020,Sep/30/2020 17:35,674,4,17,2111,Master
42,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,867,1,-94,2017,Candidate Master
43,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,844,1,-73,1944,Candidate Master
44,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,780,2,-47,1897,Expert
45,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,3286,2,-122,1775,Expert
46,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,643,4,34,1809,Expert
47,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,161,4,67,1876,Expert
48,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,10,5,237,2113,Master
49,Codeforces Global Round 12,Dec/06/2020 17:35,469,5,39,2152,Master
50,Good Bye 2020,Dec/30/2020 17:35,982,6,-11,2141,Master
51,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,251,3,63,2204,Master
52,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,337,3,33,2237,Master
53,Codeforces Global Round 13,Feb/28/2021 16:35,229,5,79,2316,International Master
54,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,654,2,-60,2256,Master
55,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,1838,3,-112,2144,Master
56,Codeforces Global Round 14,May/02/2021 17:35,1118,4,-38,2106,Master
57,Codeforces Round 722 (Div. 1),May/24/2021 17:35,557,2,-12,2094,Candidate Master
58,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,565,3,31,2125,Master
59,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,275,2,40,2165,Master
60,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,924,4,-39,2126,Master
61,Codeforces Global Round 15,Jul/25/2021 17:35,219,6,103,2229,Master
62,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,504,3,-32,2197,Master
63,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,1040,4,-51,2146,Master
64,Codeforces Global Round 16,Sep/12/2021 17:35,479,6,31,2177,Master
65,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,404,2,-36,2141,Master
66,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,664,2,-36,2105,Master
67,Codeforces Global Round 17,Nov/23/2021 17:35,1417,3,-77,2028,Candidate Master
68,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,659,4,18,2046,Candidate Master
69,Codeforces Global Round 19,Feb/12/2022 17:35,539,5,46,2092,Candidate Master
70,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,1148,3,-52,2040,Candidate Master
71,Codeforces Global Round 20,Apr/23/2022 17:05,376,6,79,2119,Master
72,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,320,5,60,2179,Master
73,Codeforces Round 794 (Div. 1),May/25/2022 20:35,324,2,-28,2151,Master
74,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,457,2,-19,2132,Master
75,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,337,2,32,2164,Master
76,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,288,5,69,2233,Master
77,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,784,0,-113,2120,Master
78,Codeforces Global Round 22,Sep/30/2022 17:35,319,5,68,2188,Master
79,Dytechlab Cup 2022,Oct/07/2022 17:35,250,4,61,2249,Master
80,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,641,3,-62,2187,Master
81,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,296,5,20,2207,Master
82,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,1127,4,-76,2131,Master
83,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,731,3,-25,2106,Master
84,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,39,6,229,2335,International Master
85,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,1897,3,-114,2221,Master
86,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,576,4,-18,2203,Master
87,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,352,3,21,2224,Master
88,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,309,6,28,2252,Master
