#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 494 (Div. 3),Jul/03/2018 17:35,4044,1,-117,1383,Pupil
2,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,2538,2,-46,1337,Pupil
3,Codeforces Round 496 (Div. 3),Jul/09/2018 18:35,2858,2,-62,1275,Pupil
4,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,2939,2,-19,1256,Pupil
5,Educational Codeforces Round 47 (Rated for Div. 2),Jul/14/2018 17:35,2534,1,-3,1253,Pupil
6,Codeforces Round 498 (Div. 3),Jul/16/2018 17:35,2387,2,-4,1249,Pupil
7,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,2022,2,62,1311,Pupil
8,"Codeforces Round 503 (by SIS, Div. 2)",Aug/11/2018 16:35,2121,2,27,1338,Pupil
9,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,3849,2,-36,1302,Pupil
10,Educational Codeforces Round 49 (Rated for Div. 2),Aug/18/2018 17:35,3320,2,-14,1288,Pupil
11,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,3308,1,2,1290,Pupil
12,Codeforces Round 506 (Div. 3),Aug/24/2018 17:50,2555,1,-10,1280,Pupil
13,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,3124,1,-28,1252,Pupil
14,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,3088,2,17,1269,Pupil
15,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,4066,0,-111,1158,Newbie
16,Educational Codeforces Round 51 (Rated for Div. 2),Sep/20/2018 17:45,1169,3,147,1305,Pupil
17,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,912,2,105,1410,Specialist
18,"Codeforces Round 512 (Div. 2, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,1636,3,4,1414,Specialist
19,"Codeforces Round 516 (Div. 2, by Moscow Team Olympiad)",Oct/14/2018 13:05,1279,3,32,1446,Specialist
20,Mail.Ru Cup 2018 Round 1,Oct/18/2018 19:35,3071,2,-71,1375,Pupil
21,"Codeforces Round 518 (Div. 2) [Thanks, Mail.Ru!]",Oct/24/2018 19:35,797,2,90,1465,Specialist
22,Codeforces Round 523 (Div. 2),Nov/22/2018 18:45,2231,1,-30,1435,Specialist
23,Codeforces Round 524 (Div. 2),Nov/24/2018 10:35,911,3,58,1493,Specialist
24,Mail.Ru Cup 2018 Round 3,Nov/25/2018 19:35,1196,3,20,1513,Specialist
25,Educational Codeforces Round 55 (Rated for Div. 2),Nov/28/2018 17:35,2007,1,-31,1482,Specialist
26,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,843,3,69,1551,Specialist
27,Codeforces Round 526 (Div. 2),Dec/10/2018 19:35,737,3,23,1574,Specialist
28,Avito Cool Challenge 2018,Dec/16/2018 17:35,1909,2,-37,1537,Specialist
29,Codeforces Round 527 (Div. 3),Dec/18/2018 17:35,794,2,10,1547,Specialist
30,"Codeforces Round 528 (Div. 2, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,1021,3,11,1558,Specialist
31,Codeforces Round 529 (Div. 3),Dec/27/2018 17:35,119,5,111,1669,Expert
32,Educational Codeforces Round 57 (Rated for Div. 2),Dec/28/2018 17:35,1848,2,-40,1629,Expert
33,Good Bye 2018,Dec/30/2018 17:35,2732,3,-9,1620,Expert
34,Codeforces Round 532 (Div. 2),Jan/13/2019 17:35,616,3,63,1683,Expert
35,Codeforces Round 533 (Div. 2),Jan/20/2019 15:05,953,3,16,1699,Expert
36,Codeforces Round 534 (Div. 2),Jan/22/2019 17:35,2585,2,-70,1629,Expert
37,Codeforces Global Round 1,Feb/07/2019 16:35,1633,3,34,1663,Expert
38,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,1662,2,-11,1652,Expert
39,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 2),Feb/24/2019 18:35,213,5,87,1739,Expert
40,Educational Codeforces Round 61 (Rated for Div. 2),Mar/05/2019 18:05,456,3,38,1777,Expert
41,Codeforces Round 546 (Div. 2),Mar/11/2019 19:35,183,4,79,1856,Expert
42,Codeforces Round 548 (Div. 2),Mar/21/2019 18:35,1479,3,-66,1790,Expert
43,Codeforces Global Round 2,Apr/06/2019 14:35,519,5,83,1873,Expert
44,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,640,3,-14,1859,Expert
45,Codeforces Round 556 (Div. 2),Apr/29/2019 17:35,435,3,-1,1858,Expert
