#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 786 (Div. 3),May/02/2022 17:35,1361,4,540,540,Newbie
2,Codeforces Round 787 (Div. 3),May/05/2022 17:35,956,5,393,933,Newbie
3,Codeforces Round 790 (Div. 4),May/10/2022 17:45,273,9,333,1266,Pupil
4,Codeforces Round 797 (Div. 3),Jun/07/2022 17:35,1716,5,141,1407,Specialist
5,Codeforces Round 802 (Div. 2),Jun/19/2022 12:05,193,4,260,1667,Expert
6,Codeforces Global Round 21,Jun/25/2022 17:35,932,4,130,1797,Expert
7,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,492,4,42,1839,Expert
8,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,300,3,63,1902,Candidate Master
9,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,442,4,21,1923,Candidate Master
10,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,890,3,-17,1906,Candidate Master
11,Codeforces Global Round 22,Sep/30/2022 17:35,1211,4,-2,1904,Candidate Master
12,Codeforces Round 841 (Div. 2) and Divide by Zero 2022,Dec/27/2022 17:35,10,6,227,2131,Master
