#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 753 (Div. 3),Nov/02/2021 17:35,6488,3,430,430,Newbie
2,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,3965,2,342,772,Newbie
3,Codeforces Round 756 (Div. 3),Nov/25/2021 17:35,1389,4,304,1076,Newbie
4,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,1482,4,249,1325,Pupil
5,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,794,4,200,1525,Specialist
6,Codeforces Round 760 (Div. 3),Dec/14/2021 17:35,453,5,95,1620,Expert
7,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,1541,3,-1,1619,Expert
8,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,303,4,114,1733,Expert
9,Codeforces Global Round 18,Dec/24/2021 17:35,5697,1,-119,1614,Expert
10,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,1230,3,32,1646,Expert
11,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,5489,2,-116,1530,Specialist
12,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,2521,3,35,1565,Specialist
13,Hello 2022,Jan/03/2022 17:35,2095,3,44,1609,Expert
14,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,808,4,63,1672,Expert
15,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,74,5,169,1841,Expert
16,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,4859,2,-117,1724,Expert
17,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,1831,3,-11,1713,Expert
18,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,1554,3,-1,1712,Expert
19,Codeforces Global Round 19,Feb/12/2022 17:35,1420,4,40,1752,Expert
20,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,1323,3,-6,1746,Expert
21,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,244,4,93,1839,Expert
22,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,555,3,11,1850,Expert
23,"Codeforces Round 775 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,1328,3,-59,1791,Expert
24,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,299,4,66,1857,Expert
25,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,2207,3,-75,1782,Expert
26,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,2923,3,-81,1701,Expert
27,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,678,3,46,1747,Expert
28,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,422,5,152,1899,Expert
29,Codeforces Round 779 (Div. 2),Mar/27/2022 17:35,254,4,46,1945,Candidate Master
30,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,1517,3,-79,1866,Expert
31,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,6152,1,-165,1701,Expert
32,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,388,4,77,1778,Expert
33,Codeforces Global Round 20,Apr/23/2022 17:05,2794,3,-74,1704,Expert
34,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,341,4,86,1790,Expert
35,Codeforces Round 788 (Div. 2),May/06/2022 17:35,195,4,87,1877,Expert
36,Codeforces Round 789 (Div. 2),May/08/2022 17:35,327,4,18,1895,Expert
37,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,3832,2,-114,1781,Expert
38,Codeforces Round 793 (Div. 2),May/22/2022 17:35,411,4,55,1836,Expert
39,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,747,4,5,1841,Expert
40,Codeforces Round 798 (Div. 2),Jun/10/2022 19:35,868,3,-32,1809,Expert
41,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,227,4,76,1885,Expert
42,Codeforces Round 800 (Div. 2),Jun/16/2022 17:35,351,4,18,1903,Candidate Master
43,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,683,3,-8,1895,Expert
44,Codeforces Round 802 (Div. 2),Jun/19/2022 12:05,121,4,86,1981,Candidate Master
