#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,VK Cup 2012 Round 1,Mar/11/2012 19:05,1234,1,-102,1398,Pupil
2,VK Cup 2012 Round 2 (Unofficial Div. 2 Edition),Mar/25/2012 19:05,55,3,113,1511,Specialist
3,Croc Champ 2012 - Round 1,Apr/06/2012 19:00,150,3,186,1697,Expert
4,VK Cup 2012 Round 3 (Unofficial Div. 2 Edition),Apr/08/2012 19:05,79,2,-39,1658,Expert
5,Codeforces Round 115,Apr/14/2012 12:00,148,3,79,1737,Expert
6,Croc Champ 2012 - Final,Apr/27/2012 17:20,62,2,42,1779,Expert
7,ABBYY Cup 2.0 - Hard,Apr/28/2012 16:00,155,10,14,1793,Expert
8,Codeforces Round 129 (Div. 1),Jul/11/2012 19:30,175,2,3,1796,Expert
9,Codeforces Round 131 (Div. 1),Jul/30/2012 19:30,171,1,-17,1779,Expert
10,Codeforces Round 136 (Div. 1),Aug/31/2012 19:30,385,1,-57,1722,Expert
11,Codeforces Round 138 (Div. 1),Sep/16/2012 19:30,80,2,121,1843,Expert
12,Codeforces Round 146 (Div. 1),Oct/21/2012 11:10,58,2,106,1949,Candidate Master
13,Codeforces Round 156 (Div. 1),Dec/16/2012 19:30,386,0,-83,1866,Expert
14,Codeforces Round 157 (Div. 1),Dec/22/2012 19:30,246,2,-12,1854,Expert
15,Codeforces Round 165 (Div. 1),Feb/01/2013 19:30,72,3,145,1999,Candidate Master
16,Codeforces Round 167 (Div. 1),Feb/13/2013 19:30,184,2,-18,1981,Candidate Master
17,Codeforces Round 172 (Div. 1),Mar/10/2013 19:30,24,3,125,2106,Master
18,Codeforces Round 174 (Div. 1),Mar/17/2013 19:30,79,3,50,2156,Master
19,Codeforces Round 177 (Div. 1),Apr/02/2013 19:30,288,3,-84,2072,Candidate Master
20,Codeforces Round 183 (Div. 1),May/12/2013 17:00,39,3,89,2161,Master
21,Codeforces Round 187 (Div. 1),Jun/07/2013 19:30,249,1,-77,2084,Candidate Master
22,Codeforces Round 189 (Div. 1),Jun/23/2013 17:00,123,2,10,2094,Candidate Master
23,ABBYY Cup 3.0 - Finals (online version),Jul/17/2013 19:30,101,5,-23,2071,Candidate Master
24,Codeforces Round 192 (Div. 1),Jul/20/2013 17:30,50,3,94,2165,Master
25,Codeforces Round 200 (Div. 1),Sep/14/2013 19:30,63,4,57,2222,Master
26,Codeforces Round 207 (Div. 1),Oct/15/2013 16:00,184,2,-67,2155,Master
27,Codeforces Round 222 (Div. 1),Dec/29/2013 19:30,107,3,23,2178,Master
28,Good Bye 2013,Dec/30/2013 19:30,90,4,56,2234,Master
