#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,74,4,740,740,Newbie
2,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,688,3,432,1172,Newbie
3,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,68,5,417,1589,Specialist
4,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,12,6,399,1988,Candidate Master
5,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,95,5,152,2140,Master
6,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,303,5,119,2259,Master
7,Hello 2022,Jan/03/2022 17:35,372,5,28,2287,Master
8,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,881,1,-111,2176,Master
9,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,295,3,36,2212,Master
10,Codeforces Global Round 19,Feb/12/2022 17:35,117,6,128,2340,International Master
11,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,564,2,-70,2270,Master
12,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,66,4,138,2408,Grandmaster
13,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,376,4,4,2412,Grandmaster
14,Hello 2023,Jan/03/2023 17:35,77,6,113,2525,Grandmaster
15,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,20,6,154,2679,International Grandmaster
16,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,213,5,-40,2639,International Grandmaster
17,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,233,3,-49,2590,Grandmaster
18,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,103,7,23,2613,International Grandmaster
