#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 2,Apr/06/2019 14:35,2638,2,-15,1485,Specialist
2,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,1265,3,53,1538,Specialist
3,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,260,4,153,1691,Expert
4,"Codeforces Round 596 (Div. 2, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,760,4,7,1698,Expert
5,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,1260,4,52,1750,Expert
6,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,147,4,142,1892,Expert
7,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,90,5,106,1998,Candidate Master
8,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,1352,3,-79,1919,Candidate Master
9,Codeforces Global Round 23,Oct/15/2022 17:35,543,4,85,2004,Candidate Master
10,Codeforces Round 841 (Div. 2) and Divide by Zero 2022,Dec/27/2022 17:35,49,5,109,2113,Master
