#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,380,4,139,1639,Expert
2,Codeforces Round 558 (Div. 2),May/09/2019 18:05,179,5,129,1768,Expert
3,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,37,5,180,1948,Candidate Master
4,Codeforces Round 561 (Div. 2),May/17/2019 18:05,290,4,13,1961,Candidate Master
5,Codeforces Round 562 (Div. 1),May/26/2019 18:35,121,3,120,2081,Candidate Master
6,Codeforces Global Round 3,Jun/01/2019 17:35,1072,3,-65,2016,Candidate Master
7,Codeforces Round 563 (Div. 2),Jun/03/2019 17:05,148,4,36,2052,Candidate Master
8,Educational Codeforces Round 66 (Rated for Div. 2),Jun/05/2019 17:35,414,4,-24,2028,Candidate Master
9,Codeforces Round 566 (Div. 2),Jun/11/2019 16:05,215,3,16,2044,Candidate Master
10,Codeforces Round 567 (Div. 2),Jun/16/2019 12:35,17,4,133,2177,Master
11,Good Bye 2019,Dec/29/2019 17:05,1718,3,-94,2083,Candidate Master
12,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,700,2,-66,2017,Candidate Master
13,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,347,2,44,2061,Candidate Master
14,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,258,3,74,2135,Master
15,Codeforces Global Round 7,Mar/19/2020 17:35,1437,4,-49,2086,Candidate Master
16,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,738,4,-18,2068,Candidate Master
17,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,997,2,-51,2017,Candidate Master
18,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,944,3,-16,2001,Candidate Master
19,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,31,5,160,2161,Master
20,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,337,3,43,2204,Master
21,Codeforces Round 641 (Div. 1),May/12/2020 15:35,392,3,19,2223,Master
22,Codeforces Global Round 8,Jun/18/2020 17:45,773,4,-14,2209,Master
23,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,556,3,-17,2192,Master
24,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,343,2,31,2223,Master
25,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,438,2,-6,2217,Master
26,Codeforces Global Round 11,Oct/10/2020 17:50,491,4,17,2234,Master
27,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,726,5,-24,2210,Master
28,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,160,3,77,2287,Master
29,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,235,2,22,2309,International Master
30,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,791,1,-107,2202,Master
31,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,634,1,-68,2134,Master
32,Codeforces Global Round 12,Dec/06/2020 17:35,413,5,44,2178,Master
33,Good Bye 2020,Dec/30/2020 17:35,741,6,7,2185,Master
34,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,532,2,-25,2160,Master
35,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,739,2,-45,2115,Master
36,Codeforces Global Round 13,Feb/28/2021 16:35,160,5,141,2256,Master
37,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,363,3,-5,2251,Master
38,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,179,3,67,2318,International Master
39,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,388,4,8,2326,International Master
40,Codeforces Global Round 17,Nov/23/2021 17:35,200,5,43,2369,International Master
41,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,514,3,-63,2306,International Master
42,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,293,3,-5,2301,International Master
43,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,537,4,-31,2270,Master
44,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,306,5,22,2292,Master
45,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,225,5,35,2327,International Master
46,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,252,5,26,2353,International Master
