#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round #Pi (Div. 2),Aug/05/2015 19:00,1393,2,-3,1497,Specialist
2,Codeforces Round 316 (Div. 2),Aug/13/2015 19:30,741,3,54,1551,Specialist
3,Codeforces Round 343 (Div. 2),Feb/20/2016 19:35,1020,2,-11,1540,Specialist
4,Codeforces Round 346 (Div. 2),Mar/30/2016 19:05,1378,3,-19,1521,Specialist
5,Codeforces Round 350 (Div. 2),May/05/2016 19:05,388,6,78,1599,Specialist
6,Codeforces Round 353 (Div. 2),May/16/2016 19:35,1321,2,-30,1569,Specialist
7,Codeforces Round 361 (Div. 2),Jul/06/2016 19:35,549,2,46,1615,Expert
8,Codeforces Round 410 (Div. 2),Apr/21/2017 17:35,1356,2,-26,1589,Specialist
9,Codeforces Round 411 (Div. 2),May/04/2017 17:50,227,4,99,1688,Expert
10,Codeforces Round 446 (Div. 2),Nov/17/2017 17:35,434,3,28,1716,Expert
11,Codeforces Round 447 (Div. 2),Nov/19/2017 16:55,307,2,42,1758,Expert
12,Educational Codeforces Round 33 (Rated for Div. 2),Nov/23/2017 18:05,1021,3,-59,1699,Expert
13,Educational Codeforces Round 35 (Rated for Div. 2),Dec/28/2017 17:05,1150,3,-43,1656,Expert
14,Good Bye 2017,Dec/29/2017 18:40,1374,3,34,1690,Expert
15,Hello 2018,Jan/08/2018 17:45,1611,3,0,1690,Expert
16,Educational Codeforces Round 36 (Rated for Div. 2),Jan/13/2018 16:05,645,3,2,1692,Expert
17,Codeforces Round 461 (Div. 2),Feb/07/2018 20:15,382,3,37,1729,Expert
18,Codeforces Round 489 (Div. 2),Jun/18/2018 19:35,612,3,13,1742,Expert
19,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,3471,2,-122,1620,Expert
20,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,481,4,76,1696,Expert
21,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,1584,2,-31,1665,Expert
22,Codeforces Round 556 (Div. 2),Apr/29/2019 17:35,1282,3,-21,1644,Expert
23,Codeforces Round 558 (Div. 2),May/09/2019 18:05,529,4,52,1696,Expert
24,Codeforces Global Round 3,Jun/01/2019 17:35,807,4,59,1755,Expert
25,Educational Codeforces Round 72 (Rated for Div. 2),Sep/05/2019 17:35,2499,1,-49,1706,Expert
26,Codeforces Round 599 (Div. 2),Nov/06/2019 18:05,792,4,12,1718,Expert
27,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,1620,3,-22,1696,Expert
28,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,173,4,135,1831,Expert
29,Codeforces Round 601 (Div. 2),Nov/19/2019 17:35,2110,2,-88,1743,Expert
30,"Codeforces Round 602 (Div. 2, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,556,3,-8,1735,Expert
31,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,857,3,15,1750,Expert
