#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 483 (Div. 2) [Thanks, Botan Investments and Victor Shaburov!]",May/15/2018 17:45,1344,2,-4,1496,Specialist
2,Educational Codeforces Round 44 (Rated for Div. 2),May/21/2018 17:45,1254,3,19,1515,Specialist
3,Avito Code Challenge 2018,May/27/2018 17:50,1407,3,-4,1511,Specialist
4,Codeforces Round 485 (Div. 2),May/29/2018 18:35,312,4,104,1615,Expert
5,Codeforces Round 488 by NEAR (Div. 2),Jun/16/2018 19:35,1420,2,-42,1573,Specialist
6,Codeforces Round 489 (Div. 2),Jun/18/2018 19:35,592,3,59,1632,Expert
7,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,1972,2,-55,1577,Specialist
8,Educational Codeforces Round 47 (Rated for Div. 2),Jul/14/2018 17:35,700,4,50,1627,Expert
9,Codeforces Round 499 (Div. 2),Jul/26/2018 18:05,797,3,20,1647,Expert
10,Educational Codeforces Round 48 (Rated for Div. 2),Aug/03/2018 17:45,2416,2,-64,1583,Specialist
11,"Codeforces Round 503 (by SIS, Div. 2)",Aug/11/2018 16:35,2230,2,-49,1534,Specialist
12,Codeforces Round 506 (Div. 3),Aug/24/2018 17:50,346,3,68,1602,Expert
13,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,614,4,100,1702,Expert
14,"Codeforces Round 518 (Div. 2) [Thanks, Mail.Ru!]",Oct/24/2018 19:35,1092,2,-26,1676,Expert
15,Educational Codeforces Round 53 (Rated for Div. 2),Oct/25/2018 17:35,426,4,65,1741,Expert
16,Good Bye 2018,Dec/30/2018 17:35,771,4,88,1829,Expert
17,Codeforces Round 534 (Div. 2),Jan/22/2019 17:35,83,4,97,1926,Candidate Master
18,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,60,5,113,2039,Candidate Master
19,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,674,3,-56,1983,Candidate Master
20,Forethought Future Cup - Elimination Round,Apr/20/2019 21:05,457,3,-4,1979,Candidate Master
21,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,621,3,-38,1941,Candidate Master
22,Codeforces Round 556 (Div. 1),Apr/29/2019 17:35,454,1,-5,1936,Candidate Master
23,Codeforces Round 558 (Div. 2),May/09/2019 18:05,464,5,-17,1919,Candidate Master
24,Codeforces Round 561 (Div. 2),May/17/2019 18:05,480,3,-10,1909,Candidate Master
25,Codeforces Global Round 3,Jun/01/2019 17:35,437,4,59,1968,Candidate Master
26,Codeforces Round 573 (Div. 1),Jul/12/2019 17:35,323,3,37,2005,Candidate Master
27,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,250,4,15,2020,Candidate Master
