#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 375 (Div. 2),Oct/03/2016 14:35,2952,2,-77,1423,Specialist
2,Codeforces Round 377 (Div. 2),Oct/17/2016 17:35,3953,1,-107,1316,Pupil
3,"Codeforces Round 380 (Div. 2, Rated, Based on Technocup 2017 - Elimination Round 2)",Nov/20/2016 12:05,1487,2,-18,1298,Pupil
4,Codeforces Round 385 (Div. 2),Dec/17/2016 19:35,1797,2,33,1331,Pupil
5,Codeforces Round 386 (Div. 2),Dec/18/2016 13:35,1907,2,-7,1324,Pupil
6,"Codeforces Round 389 (Div. 2, Rated, Based on Technocup 2017 - Elimination Round 3)",Dec/25/2016 12:05,750,2,66,1390,Pupil
7,Good Bye 2016,Dec/30/2016 17:15,1837,3,88,1478,Specialist
8,Codeforces Round 390 (Div. 2),Jan/06/2017 17:35,1913,1,-21,1457,Specialist
9,"Codecraft-17 and Codeforces Round 391 (Div. 1 + Div. 2, combined)",Jan/12/2017 18:35,1155,2,74,1531,Specialist
10,8VC Venture Cup 2017 - Elimination Round,Jan/15/2017 20:05,1832,2,-19,1512,Specialist
11,Codeforces Round 392 (Div. 2),Jan/19/2017 18:05,3319,1,-81,1431,Specialist
12,Codeforces Round 395 (Div. 2),Feb/02/2017 16:35,532,3,97,1528,Specialist
13,Codeforces Round 396 (Div. 2),Feb/07/2017 20:05,1033,2,13,1541,Specialist
14,Codeforces Round 398 (Div. 2),Feb/18/2017 12:05,2246,0,-115,1426,Specialist
15,Codeforces Round 402 (Div. 2),Feb/26/2017 11:05,1707,2,-28,1398,Pupil
16,"Codeforces Round 403 (Div. 2, based on Technocup 2017 Finals)",Mar/05/2017 16:05,657,3,83,1481,Specialist
17,Codeforces Round 411 (Div. 2),May/04/2017 17:50,1936,3,-35,1446,Specialist
18,"Tinkoff Challenge - Final Round (Codeforces Round 414, rated, Div. 1 + Div. 2)",May/13/2017 12:35,806,2,67,1513,Specialist
19,Codeforces Round 415 (Div. 2),May/20/2017 21:05,685,2,18,1531,Specialist
20,Codeforces Round 416 (Div. 2),May/27/2017 12:35,544,2,50,1581,Specialist
21,Codeforces Round 417 (Div. 2),Jun/01/2017 17:15,1275,2,-17,1564,Specialist
22,Codeforces Round 418 (Div. 2),Jun/07/2017 15:15,122,4,138,1702,Expert
23,Codeforces Round 422 (Div. 2),Jul/02/2017 19:05,452,3,12,1714,Expert
24,"Codeforces Round 423 (Div. 2, rated, based on VK Cup Finals)",Jul/11/2017 19:45,1145,2,-40,1674,Expert
25,"Codeforces Round 424 (Div. 2, rated, based on VK Cup Finals)",Jul/13/2017 18:05,739,3,-7,1667,Expert
26,Codeforces Round 425 (Div. 2),Jul/24/2017 17:35,205,2,92,1759,Expert
27,Codeforces Round 429 (Div. 2),Aug/18/2017 18:05,379,3,23,1782,Expert
28,"Codeforces Round 433 (Div. 2, based on Olympiad of Metropolises)",Sep/06/2017 15:55,2761,1,-127,1655,Expert
29,"Codeforces Round 441 (Div. 2, by Moscow Team Olympiad)",Oct/16/2017 14:05,375,4,45,1700,Expert
30,Codeforces Round 442 (Div. 2),Oct/23/2017 18:45,340,3,50,1750,Expert
31,Educational Codeforces Round 33 (Rated for Div. 2),Nov/23/2017 18:05,1612,3,-90,1660,Expert
32,Codeforces Round 450 (Div. 2),Dec/11/2017 19:05,513,3,19,1679,Expert
