#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Beta Round 31 (Div. 2, Codeforces format)",Sep/27/2010 19:00,2,4,217,1717,Expert
2,Codeforces Beta Round 36,Oct/19/2010 14:00,234,1,-90,1627,Expert
3,Codeforces Beta Round 66,Apr/10/2011 12:00,16,4,193,1820,Expert
4,Yandex.Algorithm Open 2011: Qualification 1,May/04/2011 09:00,286,2,-19,1801,Expert
5,Codeforces Beta Round 72 (Div. 1 Only),May/13/2011 19:10,34,3,162,1963,Candidate Master
6,Yandex.Algorithm 2011: Round 1,May/20/2011 19:00,87,3,141,2104,Master
7,Yandex.Algorithm 2011: Round 2,May/22/2011 19:10,41,2,86,2190,Master
8,Codeforces Beta Round 74 (Div. 1 Only),Jun/16/2011 19:00,39,2,102,2292,Master
9,Codeforces Beta Round 76 (Div. 1 Only),Jun/30/2011 19:00,29,2,-1,2291,Master
10,Codeforces Beta Round 77 (Div. 1 Only),Jul/08/2011 19:00,177,1,-117,2174,Master
11,Codeforces Beta Round 84 (Div. 1 Only),Aug/29/2011 20:00,14,4,91,2265,Master
12,Codeforces Beta Round 86 (Div. 1 Only),Sep/08/2011 19:00,75,1,-44,2221,Master
13,Codeforces Beta Round 88,Sep/23/2011 19:00,262,2,-78,2143,Master
14,Codeforces Beta Round 93 (Div. 1 Only),Nov/09/2011 21:00,177,2,-60,2083,Candidate Master
15,Codeforces Beta Round 94 (Div. 1 Only),Nov/15/2011 10:10,112,3,-21,2062,Candidate Master
16,Codeforces Round 104 (Div. 1),Jan/22/2012 11:00,33,3,87,2149,Master
17,Codeforces Round 162 (Div. 1),Jan/20/2013 17:00,548,1,-97,2052,Candidate Master
18,Codeforces Round 172 (Div. 1),Mar/10/2013 19:30,145,2,-19,2033,Candidate Master
19,Codeforces Round 245 (Div. 1),May/11/2014 19:40,29,3,150,2183,Master
20,MemSQL Start[c]UP 2.0 - Round 1,Jul/27/2014 21:00,203,3,-1,2182,Master
21,Codeforces Round 259 (Div. 1),Aug/01/2014 19:30,6,3,133,2315,International Master
22,MemSQL Start[c]UP 2.0 - Round 2 - Online Round,Aug/10/2014 21:00,309,1,-99,2216,Master
23,Codeforces Round 270,Sep/28/2014 19:35,5,5,152,2368,International Master
24,Codeforces Round 284 (Div. 1),Dec/24/2014 19:30,75,3,8,2376,International Master
25,ZeptoLab Code Rush 2015,Apr/04/2015 19:35,154,4,-1,2375,International Master
26,Codeforces Round 300,Apr/26/2015 19:00,27,7,83,2458,Grandmaster
27,Looksery Cup 2015,Jun/06/2015 16:00,122,5,14,2472,Grandmaster
28,AIM Tech Round (Div. 1),Feb/04/2016 20:05,49,1,44,2516,Grandmaster
29,"Codeforces Round 348 (VK Cup 2016 Round 2, Div. 1 Edition)",Apr/24/2016 19:35,139,2,-101,2415,Grandmaster
30,Codeforces Round 372 (Div. 1),Sep/17/2016 16:45,14,2,140,2555,Grandmaster
31,Codeforces Round 385 (Div. 1),Dec/17/2016 19:35,59,3,-3,2552,Grandmaster
32,Codeforces Global Round 1,Feb/07/2019 16:35,304,5,-59,2493,Grandmaster
33,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 1),Feb/24/2019 18:35,40,4,33,2526,Grandmaster
34,Codeforces Global Round 10,Aug/16/2020 17:35,43,7,95,2621,International Grandmaster
35,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,240,5,-35,2586,Grandmaster
