#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Beta Round 39,Nov/05/2010 19:00,176,2,140,1640,Expert
2,School Personal Contest #3 (Winter Computer School 2010/11) - Codeforces Beta Round 45 (ACM-ICPC Rules),Dec/12/2010 11:00,107,4,89,1729,Expert
3,Codeforces Beta Round 50,Jan/11/2011 11:15,335,1,-96,1633,Expert
4,Codeforces Beta Round 53,Jan/25/2011 19:00,314,1,-69,1564,Specialist
5,Codeforces Beta Round 56,Feb/19/2011 19:00,391,2,-65,1499,Specialist
6,Codeforces Beta Round 57 (Div. 2),Feb/22/2011 19:00,21,3,149,1648,Expert
7,Codeforces Beta Round 58,Feb/25/2011 19:00,107,2,-19,1629,Expert
8,Manthan 2011,Mar/13/2011 19:30,367,1,-14,1615,Expert
9,Codeforces Beta Round 62,Mar/18/2011 19:00,374,2,-33,1582,Specialist
10,Codeforces Beta Round 63 (Div. 2),Mar/22/2011 19:00,161,2,18,1600,Expert
11,Codeforces Beta Round 64,Mar/26/2011 19:00,289,2,74,1674,Expert
12,Codeforces Beta Round 66,Apr/10/2011 12:00,294,1,-42,1632,Expert
13,Codeforces Beta Round 69 (Div. 2 Only),Apr/19/2011 19:15,8,4,55,1687,Expert
14,Yandex.Algorithm 2011: Qualification 2,May/06/2011 19:00,571,2,-13,1674,Expert
15,Codeforces Beta Round 72 (Div. 1 Only),May/13/2011 19:10,136,2,99,1773,Expert
16,Yandex.Algorithm 2011: Round 1,May/20/2011 19:00,696,1,-96,1677,Expert
17,Codeforces Beta Round 73 (Div. 1 Only),Jun/07/2011 19:00,261,1,-27,1650,Expert
18,Codeforces Beta Round 74 (Div. 1 Only),Jun/16/2011 19:00,198,1,30,1680,Expert
19,Codeforces Beta Round 80 (Div. 1 Only),Aug/07/2011 15:00,87,3,97,1777,Expert
20,Codeforces Beta Round 81,Aug/13/2011 19:00,403,0,-70,1707,Expert
21,Codeforces Beta Round 83 (Div. 1 Only),Aug/23/2011 19:00,66,2,122,1829,Expert
22,Codeforces Beta Round 84 (Div. 1 Only),Aug/29/2011 20:00,155,3,55,1884,Expert
23,Codeforces Beta Round 85 (Div. 1 Only),Sep/03/2011 16:00,278,1,-41,1843,Expert
24,Codeforces Beta Round 91 (Div. 1 Only),Oct/27/2011 19:00,250,2,-23,1820,Expert
25,Codeforces Beta Round 92 (Div. 1 Only),Nov/03/2011 19:10,93,2,89,1909,Candidate Master
26,Codeforces Beta Round 93 (Div. 1 Only),Nov/09/2011 21:00,54,3,96,2005,Candidate Master
27,Codeforces Beta Round 99 (Div. 1),Dec/24/2011 16:00,164,1,-35,1970,Candidate Master
28,Codeforces Round 100,Jan/04/2012 19:00,241,4,49,2019,Candidate Master
29,Codeforces Round 102 (Div. 1),Jan/12/2012 19:05,118,2,39,2058,Candidate Master
30,Codeforces Round 107 (Div. 1),Feb/17/2012 19:00,14,3,134,2192,Master
31,Codeforces Round 109 (Div. 1),Feb/24/2012 19:00,60,3,40,2232,Master
32,VK Cup 2012 Round 1,Mar/11/2012 19:05,242,3,-72,2160,Master
33,VK Cup 2012 Round 2,Mar/25/2012 19:05,336,1,-91,2069,Candidate Master
34,Codeforces Round 114 (Div. 1),Mar/27/2012 19:00,92,2,17,2086,Candidate Master
35,Croc Champ 2012 - Round 1,Apr/06/2012 19:00,220,2,-69,2017,Candidate Master
36,VK Cup 2012 Round 3,Apr/08/2012 19:05,86,2,62,2079,Candidate Master
37,Codeforces Round 121 (Div. 1),May/27/2012 19:30,85,3,-6,2073,Candidate Master
38,Codeforces Round 122 (Div. 1),Jun/03/2012 19:30,108,1,-26,2047,Candidate Master
39,Codeforces Round 124 (Div. 1),Jun/12/2012 17:00,369,1,-97,1950,Candidate Master
40,Codeforces Round 127 (Div. 1),Jun/29/2012 19:30,66,3,62,2012,Candidate Master
41,Codeforces Round 131 (Div. 1),Jul/30/2012 19:30,185,1,-61,1951,Candidate Master
42,Codeforces Round 136 (Div. 1),Aug/31/2012 19:30,139,2,28,1979,Candidate Master
43,Codeforces Round 138 (Div. 1),Sep/16/2012 19:30,239,1,-59,1920,Candidate Master
44,Codeforces Round 144 (Div. 1),Oct/11/2012 19:30,39,2,101,2021,Candidate Master
45,"Bayan 2012-2013 Elimination Round (ACM ICPC Rules, English statements)",Nov/01/2012 19:30,156,3,-11,2010,Candidate Master
46,Codeforces Round 148 (Div. 1),Nov/04/2012 20:00,23,3,94,2104,Master
47,Codeforces Round 152 (Div. 1),Nov/25/2012 19:30,55,1,19,2123,Master
48,Codeforces Round 165 (Div. 1),Feb/01/2013 19:30,384,2,-97,2026,Candidate Master
49,Codeforces Round 170 (Div. 1),Feb/28/2013 19:30,24,3,137,2163,Master
