#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 321 (Div. 2),Sep/22/2015 19:30,415,3,157,1657,Expert
2,Codeforces Round 322 (Div. 2),Sep/28/2015 12:00,19,4,119,1776,Expert
3,Codeforces Round 324 (Div. 2),Oct/06/2015 19:30,207,4,29,1805,Expert
4,Codeforces Round 338 (Div. 2),Jan/08/2016 17:05,46,4,114,1919,Candidate Master
5,Codeforces Round 364 (Div. 1),Jul/22/2016 19:35,118,2,96,2015,Candidate Master
6,Codeforces Round 372 (Div. 1),Sep/17/2016 16:45,278,1,-1,2014,Candidate Master
7,"Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)",Oct/08/2016 15:15,116,4,104,2118,Master
8,Good Bye 2016,Dec/30/2016 17:15,723,4,-22,2096,Candidate Master
9,"Codeforces Round 433 (Div. 1, based on Olympiad of Metropolises)",Sep/06/2017 15:55,54,3,127,2223,Master
10,"Codeforces Round 454 (Div. 1, based on Technocup 2018 Elimination Round 4)",Dec/23/2017 17:05,429,1,-95,2128,Master
11,Good Bye 2017,Dec/29/2017 18:40,227,4,50,2178,Master
12,"Codeforces Round 468 (Div. 1, based on Technocup 2018 Final Round)",Mar/04/2018 18:35,121,3,29,2207,Master
13,"Codeforces Round 512 (Div. 1, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,51,3,87,2294,Master
14,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,57,3,146,2440,Grandmaster
15,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,171,6,21,2461,Grandmaster
16,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,594,4,-77,2384,International Master
