#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 500 (Div. 2) [based on EJOI],Jul/30/2018 11:15,1852,2,-43,1457,Specialist
2,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,2427,2,-20,1437,Specialist
3,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,1461,3,32,1469,Specialist
4,"Codeforces Round 516 (Div. 2, by Moscow Team Olympiad)",Oct/14/2018 13:05,1586,3,-5,1464,Specialist
5,"Codeforces Round 517 (Div. 2, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,1178,2,-1,1463,Specialist
6,CodeCraft-19 and Codeforces Round 537 (Div. 2),Feb/03/2019 18:35,2734,1,-20,1443,Specialist
7,Codeforces Global Round 1,Feb/07/2019 16:35,971,3,143,1586,Specialist
8,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,1507,2,18,1604,Expert
9,Codeforces Round 541 (Div. 2),Feb/23/2019 13:20,279,5,124,1728,Expert
10,Codeforces Round 545 (Div. 2),Mar/08/2019 12:05,371,3,25,1753,Expert
11,Codeforces Round 546 (Div. 2),Mar/11/2019 19:35,2358,2,-96,1657,Expert
12,Codeforces Global Round 2,Apr/06/2019 14:35,1160,4,42,1699,Expert
13,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,852,3,20,1719,Expert
14,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,303,4,78,1797,Expert
15,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,339,4,46,1843,Expert
16,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,351,3,37,1880,Expert
17,Codeforces Round 556 (Div. 2),Apr/29/2019 17:35,2659,2,-121,1759,Expert
18,Codeforces Round 558 (Div. 2),May/09/2019 18:05,1322,3,-51,1708,Expert
19,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,1437,3,-34,1674,Expert
20,Codeforces Round 561 (Div. 2),May/17/2019 18:05,52,5,193,1867,Expert
21,Codeforces Round 562 (Div. 2),May/26/2019 18:35,198,3,32,1899,Expert
22,Educational Codeforces Round 66 (Rated for Div. 2),Jun/05/2019 17:35,1827,2,-83,1816,Expert
23,Codeforces Round 564 (Div. 2),Jun/07/2019 15:05,174,4,58,1874,Expert
24,Educational Codeforces Round 67 (Rated for Div. 2),Jun/30/2019 17:45,1394,2,-67,1807,Expert
25,Codeforces Round 589 (Div. 2),Sep/29/2019 16:05,1356,3,-19,1788,Expert
26,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,667,3,16,1804,Expert
27,Codeforces Round 594 (Div. 2),Oct/20/2019 12:05,1185,3,-46,1758,Expert
28,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,4907,2,-116,1642,Expert
29,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,804,2,21,1663,Expert
30,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,794,3,39,1702,Expert
31,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,2019,3,-24,1678,Expert
32,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,1468,3,-11,1667,Expert
33,Codeforces Round 789 (Div. 2),May/08/2022 17:35,160,5,117,1784,Expert
34,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,2005,3,-13,1771,Expert
35,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,330,4,88,1859,Expert
