#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,2655,2,559,559,Newbie
2,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,6334,1,286,845,Newbie
3,Codeforces Round 667 (Div. 3),Sep/04/2020 17:35,656,4,350,1195,Newbie
4,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,125,4,408,1603,Expert
5,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,2591,2,58,1661,Expert
6,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,3395,3,-13,1648,Expert
7,Grakn Forces 2020,Sep/30/2020 17:35,3391,2,-47,1601,Expert
8,Codeforces Global Round 11,Oct/10/2020 17:50,1998,2,38,1639,Expert
9,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,2141,3,-36,1603,Expert
10,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,677,5,156,1759,Expert
11,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,399,4,70,1829,Expert
12,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,411,4,48,1877,Expert
13,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,609,4,14,1891,Expert
14,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,2073,3,-61,1830,Expert
15,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,66,4,165,1995,Candidate Master
16,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,761,1,-75,1920,Candidate Master
17,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,589,2,52,1972,Candidate Master
18,Codeforces Global Round 13,Feb/28/2021 16:35,1092,4,16,1988,Candidate Master
19,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,857,2,-48,1940,Candidate Master
20,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,821,3,-28,1912,Candidate Master
21,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,304,4,40,1952,Candidate Master
22,Codeforces Global Round 14,May/02/2021 17:35,1140,4,8,1960,Candidate Master
23,Codeforces Round 720 (Div. 2),May/07/2021 17:35,4231,2,-122,1838,Expert
24,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,101,4,115,1953,Candidate Master
25,Codeforces Round 723 (Div. 2),May/28/2021 17:05,221,5,57,2010,Candidate Master
26,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,594,3,49,2059,Candidate Master
27,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,172,2,131,2190,Master
28,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,270,3,44,2234,Master
29,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,800,2,-81,2153,Master
30,Hello 2022,Jan/03/2022 17:35,1379,3,-61,2092,Candidate Master
31,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,7,6,173,2265,Master
32,Codeforces Round 789 (Div. 1),May/08/2022 17:35,321,3,-3,2262,Master
33,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,203,3,47,2309,International Master
34,Codeforces Global Round 22,Sep/30/2022 17:35,209,6,49,2358,International Master
35,Dytechlab Cup 2022,Oct/07/2022 17:35,148,5,59,2417,Grandmaster
36,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,322,5,-18,2399,International Master
37,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,437,4,-6,2393,International Master
38,Hello 2023,Jan/03/2023 17:35,393,5,-9,2384,International Master
39,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,325,5,-10,2374,International Master
40,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,276,5,17,2391,International Master
