#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,8893,1,-74,1426,Specialist
2,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,9054,1,-66,1360,Pupil
3,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,6714,1,-29,1331,Pupil
4,Codeforces Round 634 (Div. 3),Apr/13/2020 17:35,7414,3,-20,1311,Pupil
5,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,4345,2,55,1366,Pupil
6,Codeforces Round 636 (Div. 3),Apr/21/2020 17:35,7576,3,-30,1336,Pupil
7,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,11895,1,-67,1269,Pupil
8,Codeforces Round 638 (Div. 2),May/01/2020 17:35,8489,1,-4,1265,Pupil
9,Codeforces Round 640 (Div. 4),May/09/2020 17:35,2163,4,69,1334,Pupil
10,Codeforces Round 641 (Div. 2),May/12/2020 15:35,4046,2,42,1376,Pupil
11,Codeforces Round 644 (Div. 3),May/24/2020 16:35,7493,3,-66,1310,Pupil
12,Codeforces Round 645 (Div. 2),May/26/2020 17:35,4275,2,58,1368,Pupil
13,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,4124,3,26,1394,Pupil
14,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,7192,2,-54,1340,Pupil
15,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,2834,2,61,1401,Specialist
16,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,8812,1,-106,1295,Pupil
17,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,5489,1,-65,1230,Pupil
18,Codeforces Round 674 (Div. 3),Sep/28/2020 11:05,5563,2,-63,1167,Newbie
19,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,7279,2,-42,1125,Newbie
20,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,3436,2,66,1191,Newbie
21,Codeforces Round 677 (Div. 3),Oct/20/2020 17:35,1285,5,111,1302,Pupil
22,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,1933,3,37,1339,Pupil
23,Codeforces Round 693 (Div. 3),Jan/04/2021 17:35,1107,4,81,1420,Specialist
24,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,1893,2,75,1495,Specialist
25,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,2656,3,11,1506,Specialist
26,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,5657,2,-58,1448,Specialist
27,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,3777,2,-8,1440,Specialist
28,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,3870,2,7,1447,Specialist
29,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,3556,2,4,1451,Specialist
30,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,4692,2,-25,1426,Specialist
31,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,2746,2,22,1448,Specialist
32,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,769,4,129,1577,Specialist
33,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,2308,2,14,1591,Specialist
34,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,1025,3,56,1647,Expert
35,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,2659,2,-40,1607,Expert
36,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,509,3,98,1705,Expert
37,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,3367,2,-81,1624,Expert
38,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,494,4,91,1715,Expert
39,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,4119,2,-81,1634,Expert
40,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,1184,4,39,1673,Expert
41,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,2887,2,-39,1634,Expert
42,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,1465,3,9,1643,Expert
43,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,376,3,121,1764,Expert
44,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,3995,3,-82,1682,Expert
45,Codeforces Global Round 15,Jul/25/2021 17:35,3147,2,-33,1649,Expert
46,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,1134,3,39,1688,Expert
47,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,512,3,87,1775,Expert
48,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,2529,4,-49,1726,Expert
49,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,1784,3,-21,1705,Expert
50,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,1710,3,21,1726,Expert
51,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,838,4,34,1760,Expert
52,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,512,4,54,1814,Expert
53,Codeforces Global Round 16,Sep/12/2021 17:35,1837,5,-15,1799,Expert
54,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,2025,3,-51,1748,Expert
55,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,75,3,130,1878,Expert
56,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,452,3,28,1906,Candidate Master
57,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,106,6,94,2000,Candidate Master
58,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,204,4,44,2044,Candidate Master
59,Codeforces Global Round 17,Nov/23/2021 17:35,1068,3,-34,2010,Candidate Master
60,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,318,4,6,2016,Candidate Master
61,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,1410,4,-59,1957,Candidate Master
62,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,110,5,85,2042,Candidate Master
63,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,585,3,5,2047,Candidate Master
64,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,196,4,19,2066,Candidate Master
65,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,152,5,25,2091,Candidate Master
66,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,248,4,4,2095,Candidate Master
67,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,252,3,-4,2091,Candidate Master
68,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,1472,3,-50,2041,Candidate Master
69,Hello 2022,Jan/03/2022 17:35,695,4,30,2071,Candidate Master
