#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 808 (Div. 2),Jul/16/2022 17:35,107,4,743,743,Newbie
2,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,240,4,489,1232,Pupil
3,Codeforces Round 810 (Div. 2),Jul/24/2022 17:35,1060,3,239,1471,Specialist
4,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1257,4,191,1662,Expert
5,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,640,3,133,1795,Expert
6,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,399,4,88,1883,Expert
7,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,330,4,37,1920,Candidate Master
8,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,323,4,28,1948,Candidate Master
9,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,3310,2,-126,1822,Expert
10,Codeforces Round 840 (Div. 2) and Enigma 2022 - Cybros LNMIIT,Dec/19/2022 17:35,87,4,130,1952,Candidate Master
11,Codeforces Round 841 (Div. 2) and Divide by Zero 2022,Dec/27/2022 17:35,131,5,72,2024,Candidate Master
12,Educational Codeforces Round 142 (Rated for Div. 2),Jan/24/2023 17:35,45,5,105,2129,Master
