#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,1223,3,590,590,Newbie
2,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,169,5,554,1144,Newbie
3,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,108,4,415,1559,Specialist
4,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,271,3,220,1779,Expert
5,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,357,4,134,1913,Candidate Master
6,Codeforces Round 720 (Div. 2),May/07/2021 17:35,809,3,37,1950,Candidate Master
7,Codeforces Round 721 (Div. 2),May/20/2021 17:35,63,4,125,2075,Candidate Master
8,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,19,4,149,2224,Master
9,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,461,3,-21,2203,Master
10,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,612,4,-18,2185,Master
11,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,209,4,55,2240,Master
12,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,390,2,-12,2228,Master
13,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,632,5,-53,2175,Master
14,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,239,5,61,2236,Master
15,Codeforces Global Round 24,Nov/26/2022 17:05,1001,3,-87,2149,Master
