#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Beta Round 69 (Div. 2 Only),Apr/19/2011 19:15,677,1,-72,1428,Specialist
2,Codeforces Beta Round 70 (Div. 2),Apr/27/2011 19:00,494,1,-51,1377,Pupil
3,Codeforces Beta Round 71,Apr/30/2011 19:00,667,1,-37,1340,Pupil
4,Codeforces Beta Round 79 (Div. 2 Only),Aug/03/2011 21:00,124,3,142,1482,Specialist
5,Codeforces Beta Round 80 (Div. 2 Only),Aug/07/2011 15:00,152,3,86,1568,Specialist
6,Codeforces Beta Round 81,Aug/13/2011 19:00,403,0,-28,1540,Specialist
7,Codeforces Beta Round 84 (Div. 2 Only),Aug/29/2011 20:00,223,3,10,1550,Specialist
8,Codeforces Beta Round 85 (Div. 2 Only),Sep/03/2011 16:00,275,3,-4,1546,Specialist
9,Codeforces Beta Round 89 (Div. 2),Oct/07/2011 19:00,525,2,-47,1499,Specialist
10,Codeforces Beta Round 92 (Div. 2 Only),Nov/03/2011 19:10,63,3,128,1627,Expert
11,Codeforces Beta Round 95 (Div. 2),Nov/25/2011 19:00,131,4,60,1687,Expert
12,Codeforces Beta Round 96 (Div. 2),Dec/03/2011 19:00,13,4,67,1754,Expert
13,Codeforces Beta Round 99 (Div. 1),Dec/24/2011 16:00,192,1,22,1776,Expert
14,Codeforces Round 100,Jan/04/2012 19:00,271,4,141,1917,Candidate Master
15,Codeforces Round 107 (Div. 1),Feb/17/2012 19:00,271,2,-40,1877,Expert
16,Codeforces Round 109 (Div. 1),Feb/24/2012 19:00,367,1,-56,1821,Expert
17,VK Cup 2012 Round 1,Mar/11/2012 19:05,434,3,53,1874,Expert
18,VK Cup 2012 Round 2,Mar/25/2012 19:05,330,1,-3,1871,Expert
19,Codeforces Round 119 (Div. 1),May/10/2012 19:30,35,3,107,1978,Candidate Master
20,Codeforces Round 122 (Div. 1),Jun/03/2012 19:30,247,0,-76,1902,Candidate Master
21,Codeforces Round 124 (Div. 1),Jun/12/2012 17:00,239,1,-50,1852,Expert
22,Codeforces Round 125 (Div. 1),Jun/22/2012 19:30,151,1,-4,1848,Expert
23,Codeforces Round 127 (Div. 1),Jun/29/2012 19:30,212,1,-42,1806,Expert
24,Codeforces Round 134 (Div. 1),Aug/18/2012 11:05,258,1,-49,1757,Expert
25,Codeforces Round 136 (Div. 1),Aug/31/2012 19:30,122,2,103,1860,Expert
26,Codeforces Round 142 (Div. 1),Oct/01/2012 19:30,40,4,130,1990,Candidate Master
27,Codeforces Round 146 (Div. 1),Oct/21/2012 11:10,217,1,-58,1932,Candidate Master
28,Codeforces Round 150 (Div. 1),Nov/16/2012 19:30,206,1,-47,1885,Expert
29,Codeforces Round 156 (Div. 1),Dec/16/2012 19:30,389,0,-80,1805,Expert
30,Codeforces Round 162 (Div. 1),Jan/20/2013 17:00,78,3,145,1950,Candidate Master
31,Codeforces Round 165 (Div. 1),Feb/01/2013 19:30,473,1,-83,1867,Expert
32,Codeforces Round 167 (Div. 1),Feb/13/2013 19:30,343,2,-54,1813,Expert
33,Codeforces Round 189 (Div. 1),Jun/23/2013 17:00,111,3,107,1920,Candidate Master
34,MemSQL start[c]up Round 1,Jul/13/2013 21:00,240,2,28,1948,Candidate Master
35,ABBYY Cup 3.0 - Finals (online version),Jul/17/2013 19:30,401,3,-92,1856,Expert
36,Codeforces Round 192 (Div. 1),Jul/20/2013 17:30,144,2,84,1940,Candidate Master
37,Codeforces Round 194 (Div. 1),Jul/27/2013 12:30,340,2,-60,1880,Expert
38,Codeforces Round 207 (Div. 1),Oct/15/2013 16:00,149,2,84,1964,Candidate Master
39,Codeforces Round 210 (Div. 1),Nov/10/2013 21:00,86,2,59,2023,Candidate Master
40,Codeforces Round 213 (Div. 1),Nov/19/2013 19:30,252,1,-54,1969,Candidate Master
41,Codeforces Round 225 (Div. 1),Jan/20/2014 19:30,359,1,-60,1909,Candidate Master
42,Codeforces Round 228 (Div. 1),Feb/03/2014 19:40,134,3,130,2039,Candidate Master
43,Codeforces Round 236 (Div. 1),Mar/16/2014 19:30,43,3,118,2157,Master
44,Codeforces Round 238 (Div. 1),Mar/22/2014 19:30,63,3,62,2219,Master
45,Codeforces Round 240 (Div. 1),Apr/06/2014 19:40,70,4,56,2275,Master
46,RCC 2014 Warmup (Div. 1),Apr/17/2014 19:40,27,3,63,2338,International Master
47,Codeforces Round 245 (Div. 1),May/11/2014 19:40,127,3,-57,2281,Master
48,Codeforces Round 250 (Div. 1),Jun/01/2014 17:00,51,3,50,2331,International Master
49,Zepto Code Rush 2014,Jun/13/2014 19:30,68,3,51,2382,International Master
50,Codeforces Round #FF (Div. 1),Jul/13/2014 17:00,333,1,-106,2276,Master
51,Codeforces Round 257 (Div. 1),Jul/19/2014 17:00,99,2,-15,2261,Master
52,MemSQL Start[c]UP 2.0 - Round 1,Jul/27/2014 21:00,90,3,58,2319,International Master
53,Codeforces Round 259 (Div. 1),Aug/01/2014 19:30,384,1,-105,2214,Master
54,MemSQL Start[c]UP 2.0 - Round 2 - Online Round,Aug/10/2014 21:00,313,1,-82,2132,Master
55,Codeforces Round 263 (Div. 1),Aug/26/2014 18:00,81,3,103,2235,Master
56,Codeforces Round 265 (Div. 1),Sep/07/2014 19:30,80,2,55,2290,Master
57,Codeforces Round 268 (Div. 1),Sep/20/2014 17:00,129,1,-46,2244,Master
58,Codeforces Round 270,Sep/28/2014 19:35,249,4,-74,2170,Master
59,Codeforces Round 272 (Div. 1),Oct/12/2014 18:00,191,2,-11,2159,Master
60,Codeforces Round 274 (Div. 1),Oct/19/2014 13:00,289,2,-79,2080,Candidate Master
